Invoice_ID,Project_ID,Client_ID,Invoice_Date,Due_Date,Invoice_Subtotal_CAD,Tax_Rate,Tax_Amount_CAD,Total_Invoice_Amount_CAD,Invoice_Status
INV-000045,PRJ-0018,clt-088,2025-08-15,2025-09-29,148938.91,,,,Partially Paid - Overdue
INV-000046,PRJ-0019,CLT-009,2023-01-23,2023-02-22,36104.82,0.05,1805.24,37910.06,Partially Paid - Overdue
INV-000047,PRJ-0019,clt-009,2023-03-02,2023-04-01,50162.64,0.05,2508.13,52670.77,Paid
INV-000048,PRJ-0020,CLT-054,2023-06-24,2023-08-08,30271.33,0.12,3632.56,33903.89,Partially Paid - Overdue
INV-000049,PRJ-0020,CLT-054,2023-06-27,2023-08-11,52708.53,0.12,6325.02,59033.55,Paid
INV-000050,PRJ-0020,CLT-054,2023-07-26,2023-09-09,44844.49,,,,Overdue
INV-000051,PRJ-0020,CLT-054,2023-08-14,2023-09-28,52213.58,0.12,6265.63,58479.21,Paid
INV-000052,PRJ-0021, CLT-030 ,2023-11-08,2023-11-23,158011.62,0.13,20541.51,178553.13,Paid
INV-000053,PRJ-0021,CLT-030,2023-12-02,2023-12-17,130052.08,0.13,16906.77,146958.85,Partially Paid - Overdue
INV-000054,PRJ-0021,CLT-030,2024-01-03,2024-01-18,124082.56,0.13,16130.73,140213.29,Paid
INV-000055,PRJ-0022,CLT-009,2023-04-03,2023-05-03,22643.81,0.05,1132.19,23776,Partially Paid - Overdue
INV-000056,PRJ-0022,clt-009,2023-07-04,2023-08-03,15615.57,,,,Partially Paid - Overdue
INV-000057, PRJ-0022,CLT-009,2023-09-08,2023-10-08,22017.33,,,,Partially Paid - Overdue
INV-000058,PRJ-0023,CLT-083,2025-08-26,2025-09-25,18692.16,0.13,2429.98,21122.14,Partially Paid - Overdue
INV-000059,PRJ-0024,CLT-074,2024-03-09,2024-05-08,55117.69,0.13,7165.3,62282.99,Paid
INV-000060,PRJ-0024,CLT-074,2024-04-19,2024-06-18,101734.32,0.13,13225.46,114959.78,Paid
INV-000061,PRJ-0024,CLT-074,2024-05-06,2024-07-05,125447.59,0.13,16308.19,141755.78,Paid
INV-000062,PRJ-0025,CLT-095,2024-07-16,2024-08-15,82602.76,0.13,10738.36,93341.12,Paid
INV-000063,PRJ-0025,CLT-095,2024-08-30,2024-09-29,64923.94,0.13,8440.11,73364.05,Paid
INV-000064,PRJ-0025,CLT-095,2024-10-10,2024-11-09,99634.42,0.13,12952.47,112586.89,Paid
INV-000065,PRJ-0026,CLT-041,2024-04-06,2024-05-06,47269.02,0.14975,7078.54,54347.56,
INV-000066,PRJ-0027,CLT-050,2025-09-24,2025-10-24,83557.03,0.14975,12512.67,96069.7,Paid
INV-000067,PRJ-0027,CLT-050,2025-10-22,2025-11-21,53509.93,0.14975,8013.11,61523.04,Paid
INV-000068,PRJ-0028,CLT-044,2024-12-28,2025-01-27,64423.33,0.13,8375.03,72798.36,Paid
INV-000069,PRJ-0028,CLT-044,2025-02-14,2025-03-16,59616.26,0.13,7750.11,67366.37,Partially Paid - Overdue
INV-000070,PRJ-0028,CLT-044,2025-04-03,2025-05-03,56729.84,0.13,7374.88,64104.72,Paid
INV-000071,PRJ-0028,CLT-044,2025-05-16,2025-06-15,32467.72,0.13,4220.8,36688.52,Paid
INV-000072,PRJ-0029,CLT-053,2024-03-18,2024-04-17,66910.18,,,,Paid
INV-000073,PRJ-0029, CLT-053,2024-06-08,2024-07-08,75167.24,,,,Overdue
INV-000074, PRJ-0029 ,CLT-053,2024-08-09,2024-09-08,109605.48,0.13,14248.71,123854.19,
INV-000075,PRJ-0029,CLT-053,2024-10-09,2024-11-08,99091.82,0.13,12881.94,111973.76,Paid
INV-000076,PRJ-0030,CLT-046,2025-07-15,2025-08-14,24999.79,0.12,2999.97,27999.76,Overdue
INV-000077,PRJ-0030,CLT-046,2025-10-04,2025-11-03,35299.68,0.12,4235.96,39535.64,Overdue
INV-000078,PRJ-0030,CLT-046,2025-12-03,2026-01-02,43581.46,0.12,5229.78,48811.24,Partially Paid
INV-000079,PRJ-0031,CLT-056,2023-05-24,2023-06-23,37526.13,0.13,4878.4,42404.53,Paid
INV-000080,PRJ-0031,CLT-056,2023-07-22,2023-08-21,37319.38,0.13,4851.52,42170.9,Paid
INV-000081,PRJ-0031,CLT-056,2023-09-04,2023-10-04,40128.36,0.13,5216.69,45345.05,Partially Paid - Overdue
INV-000082,PRJ-0032,CLT-053,2025-07-15,2025-08-14,47251.33,0.13,6142.67,53394,Paid
INV-000083,PRJ-0032,CLT-053,2025-11-03,2025-12-03,34175.63,0.13,4442.83,38618.46,Overdue
INV-000084,PRJ-0033,CLT-075,2024-10-09,2024-11-08,31484.08,0.13,4092.93,35577.01,Paid
INV-000085,PRJ-0033,CLT-075,2024-12-06,2025-01-05,28850.01,0.13,3750.5,32600.51,Paid
INV-000086,PRJ-0033,CLT-075,2025-01-26,2025-02-25,44118.85,0.13,5735.45,49854.3,Paid
INV-000087,PRJ-0034,CLT-004,2024-10-25,2024-11-24,71246.89,,,,Paid
INV-000088,PRJ-0034,CLT-004,2025-01-23,2025-02-22,66997.88,0.13,8709.72,75707.6,Paid
INV-000089,PRJ-0035,CLT-013,2025-11-25,2025-12-25,38193.41,0.12,4583.21,42776.62,Overdue
INV-000090,PRJ-0036,CLT-025,2023-05-28,2023-06-27,98881.58,0.13,12854.61,111736.19,Paid
INV-000091,PRJ-0036,CLT-025,2023-06-02,2023-07-02,102933.17,0.13,13381.31,116314.48,Paid
INV-000092,PRJ-0036,CLT-025,2023-06-15,2023-07-15,128166.98,0.13,16661.71,144828.69,Paid
INV-000093,PRJ-0037,CLT-058,2023-02-04,2023-03-06,38504.81,0.05,1925.24,40430.05,Paid
INV-000094,PRJ-0037,CLT-058,2023-02-16,2023-03-18,54002.87,0.05,2700.14,56703.01,Paid
INV-000095,PRJ-0037,CLT-058,2023-03-18,2023-04-17,63944.54,0.05,3197.23,67141.77,Paid
INV-000096,PRJ-0038,CLT-006,2025-09-28,2025-11-12,24890.67,0.12,2986.88,27877.55,overdue
INV-000097,PRJ-0038,CLT-006,2025-10-30,2025-12-14,26471.72,0.12,3176.61,29648.33,Overdue
INV-000098,PRJ-0038,CLT-006,2025-12-30,2026-02-13,25331.21,,,,
INV-000099,PRJ-0039,CLT-034,2024-10-11,2024-11-10,28713.88,0.14975,4299.9,33013.78,Partially Paid - Overdue
INV-000100,PRJ-0039,CLT-034,2024-11-27,2024-12-27,34061.33,,,,
INV-000101,PRJ-0039,CLT-034,2025-01-02,2025-02-01,34703.79,0.14975,5196.89,39900.68,Partially Paid - Overdue
INV-000102,PRJ-0039,CLT-034,2025-02-11,2025-03-13,56009.38,0.14975,8387.4,64396.78,Paid
INV-000103,PRJ-0040,CLT-059,2023-05-13,2023-06-27,13654.32,0.13,1775.06,15429.38,
INV-000104,PRJ-0040,CLT-059,2023-07-28,2023-09-11,23512.42,0.13,3056.61,26569.03,Paid
INV-000105,PRJ-0041,CLT-058,2024-02-04,2024-03-05,27256.45,0.05,1362.82,28619.27,Overdue
INV-000106,PRJ-0041,CLT-058,2024-02-12,2024-03-13,21252.48,0.05,1062.62,22315.1,Partially Paid - Overdue
INV-000107,PRJ-0041,CLT-058,2024-03-10,2024-04-09,25561.43,0.05,1278.07,26839.5,Overdue
INV-000108,PRJ-0042,CLT-053,2024-03-30,2024-04-29,97177.23,0.13,12633.04,109810.27,Paid
INV-000109,PRJ-0042,CLT-053,2024-06-09,2024-07-09,104189.42,0.13,13544.62,117734.04,Paid
INV-000110,PRJ-0042,CLT-053,2024-07-31,2024-08-30,111656.7,0.13,14515.37,126172.07,Paid
INV-000111,PRJ-0043,CLT-050,2025-11-10,2025-12-10,52769.16,,,,Partially Paid - Overdue
INV-000112,PRJ-0043,CLT-050,2025-12-31,2026-01-30,36886.9,0.14975,5523.81,42410.71,Open
INV-000113,PRJ-0044,CLT-058,2025-02-16,2025-03-18,135383.1,0.05,6769.16,142152.26,Paid
INV-000114,PRJ-0044,CLT-058,2025-03-19,2025-04-18,99490.99,0.05,4974.55,104465.54,Partially Paid - Overdue
INV-000115,PRJ-0044,CLT-058,2025-05-01,2025-05-31,75505.9,0.05,3775.3,79281.2,Paid
INV-000116,PRJ-0045, CLT-002,2025-08-02,2025-09-16,31987.12,0.14975,4790.07,36777.19,Paid
INV-000117,PRJ-0045,CLT-002,2025-09-13,2025-10-28,46287.98,0.14975,6931.63,53219.61,Paid
INV-000118,PRJ-0045,CLT-002,2025-10-16,2025-11-30,30744.79,0.14975,4604.03,35348.82,Paid
INV-000119,PRJ-0046,CLT-028,2023-02-16,2023-04-02,22753.11,0.12,2730.37,25483.48,
INV-000120,PRJ-0046,CLT-028,2023-03-12,2023-04-26,22613.55,,,,Paid
INV-000121,PRJ-0046,CLT-028,2023-04-04,2023-05-19,26154.8,0.12,3138.58,29293.38,Paid
INV-000122,PRJ-0047,CLT-075,2023-05-22,2023-06-21,33968.59,0.13,4415.92,38384.51,Overdue
INV-000123,PRJ-0047,CLT-075,2023-05-23,2023-06-22,62210.47,0.13,8087.36,70297.83,Paid
INV-000124,PRJ-0047,CLT-075,2023-06-21,2023-07-21,31153.11,0.13,4049.9,35203.01,Paid
INV-000125,PRJ-0047,CLT-075,2023-06-26,2023-07-26,35508.83,0.13,4616.15,40124.98,Paid
INV-000126,PRJ-0048,CLT-040,2024-06-10,2024-06-25,62550.46,0.05,3127.52,65677.98,Paid
INV-000127,PRJ-0048,CLT-040,2024-07-11,2024-07-26,63298.27,0.05,3164.91,66463.18,Partially Paid - Overdue
INV-000128,PRJ-0048,CLT-040,2024-07-25,2024-08-09,75751.5,0.05,3787.58,79539.08,overdue
INV-000129,PRJ-0049,CLT-021,2023-11-12,2023-12-12,34306.15,0.14975,5137.35,39443.5,Paid
INV-000130,PRJ-0049,CLT-021,2024-01-12,2024-02-11,26529.67,0.14975,3972.82,30502.49,Paid
INV-000131,PRJ-0049,CLT-021,2024-02-18,2024-03-19,21303.58,0.14975,3190.21,24493.79,Paid
INV-000132,PRJ-0050,CLT-049,2023-12-22,2024-02-05,46102.88,0.14975,6903.91,53006.79,Paid
INV-000133,PRJ-0050,CLT-049,2024-01-13,2024-02-27,32365.1,0.14975,4846.67,37211.77,Paid
INV-000134,PRJ-0050,CLT-049,2024-01-14,2024-02-28,28576.53,0.14975,4279.34,32855.87,Paid
INV-000135,PRJ-0051,CLT-042,2025-11-03,2025-12-03,52465.55,0.14975,7856.72,60322.27,Paid
INV-000136,PRJ-0051,CLT-042,2025-12-27,2026-01-26,51268,0.14975,7677.38,58945.38,Open
INV-000137,PRJ-0052,CLT-055,2025-12-29,2026-01-28,28631.44,0.14975,4287.56,32919,Open
INV-000138,PRJ-0053,CLT-042,2023-07-21,2023-08-20,61465.55,0.14975,9204.47,70670.02,Paid
INV-000139,PRJ-0053,CLT-042,2023-07-31,2023-08-30,31425.04,0.14975,4705.9,36130.94,Paid
INV-000140,PRJ-0053,CLT-042,2023-08-12,2023-09-11,42523.61,0.14975,6367.91,48891.52,Paid
INV-000141,PRJ-0053,CLT-042,2023-08-19,2023-09-18,45195.86,0.14975,6768.08,51963.94,Paid
INV-000142,PRJ-0054,CLT-032,2024-10-13,2024-11-27,40964.38,0.14975,6134.42,47098.8,Paid
INV-000143,PRJ-0054,CLT-032,2024-11-11,2024-12-26,33297.81,0.14975,4986.35,38284.16,
INV-000144,PRJ-0054,CLT-032,2024-12-16,2025-01-30,58829.98,0.14975,8809.79,67639.77,Partially Paid - Overdue
INV-000145,PRJ-0054,CLT-032,2025-01-20,2025-03-06,49294.92,0.14975,7381.91,56676.83,Paid
INV-000146,PRJ-0055,CLT-021,2024-09-06,2024-10-06,56530.84,0.14975,8465.49,64996.33,Partially Paid - Overdue
INV-000147,PRJ-0055,CLT-021,2024-10-27,2024-11-26,26323.83,0.14975,3941.99,30265.82,Paid
INV-000148,PRJ-0055,CLT-021,2024-12-28,2025-01-27,43875.77,0.14975,6570.4,50446.17,Paid
INV-000149,PRJ-0056,CLT-067,2025-09-22,2025-10-22,51184.11,0.12,6142.09,57326.2,Paid
INV-000150,PRJ-0056,CLT-067,2025-12-31,2026-01-30,69146.35,0.12,8297.56,77443.91,Open
INV-000151,PRJ-0057,CLT-004,2024-08-04,2024-09-03,24584.48,0.13,3195.98,27780.46,Overdue
INV-000152,PRJ-0057,CLT-004,2024-09-15,2024-10-15,34863.23,0.13,4532.22,39395.45,Paid
INV-000153,PRJ-0057,CLT-004,2024-11-04,2024-12-04,29823.78,0.13,3877.09,33700.87,Paid
INV-000154,PRJ-0058,CLT-078,2025-04-17,2025-05-17,69039.97,0.12,8284.8,77324.77,Paid
INV-000155,PRJ-0058,CLT-078,2025-07-16,2025-08-15,44617.01,0.12,5354.04,49971.05,Paid
INV-000156,PRJ-0059,CLT-069,2025-04-15,2025-05-15,20321.76,0.15,3048.26,23370.02,Paid
INV-000157,PRJ-0059,CLT-069,2025-05-11,2025-06-10,14684.28,,,,Paid
INV-000158,PRJ-0059,CLT-069,2025-06-10,2025-07-10,25271.91,0.15,3790.79,29062.7,
INV-000159,PRJ-0060,CLT-040,2024-03-30,2024-04-14,48851.97,0.05,2442.6,51294.57,
INV-000160,PRJ-0061,CLT-026,2024-05-15,2024-06-29,24699.05,0.05,1234.95,25934,Paid
INV-000161,prj-0061 ,CLT-026,2024-09-21,2024-11-05,39896.01,0.05,1994.8,41890.81,Paid
INV-000162,PRJ-0062,CLT-031,2024-03-02,2024-03-17,36764.86,0.14975,5505.54,42270.4,Paid
INV-000163,PRJ-0062,CLT-031,2024-03-29,2024-04-13,49402.71,0.14975,7398.06,56800.77,Paid
INV-000164,PRJ-0062,CLT-031,2024-04-17,2024-05-02,43302.28,0.14975,6484.52,49786.8,Paid
INV-000165,PRJ-0062,CLT-031,2024-05-09,2024-05-24,40642.71,0.14975,6086.25,46728.96,Paid
INV-000166,PRJ-0063,CLT-009,2024-09-29,2024-10-29,34916.28,0.05,1745.81,36662.09,Overdue
INV-000167,PRJ-0063,CLT-009,2024-11-03,2024-12-03,73114.94,0.05,3655.75,76770.69,Paid
INV-000168,PRJ-0063,clt-009,2024-11-15,2024-12-15,48279.7,0.05,2413.99,50693.69,Paid
INV-000169,PRJ-0063,CLT-009,2024-12-06,2025-01-05,63531.37,,,,Paid
INV-000170,PRJ-0064,CLT-024,2023-04-13,2023-06-12,40747.52,0.12,4889.7,45637.22,
INV-000171,PRJ-0065,CLT-072,2023-12-29,2024-01-28,71750.42,0.13,9327.55,81077.97,Paid
INV-000172,PRJ-0065,CLT-072,2024-02-13,2024-03-14,98359.96,0.13,12786.79,111146.75,Paid
INV-000173,PRJ-0065,CLT-072,2024-03-22,2024-04-21,68854.03,0.13,8951.02,77805.05,Paid
INV-000174,PRJ-0065,CLT-072,2024-05-03,2024-06-02,73222.03,0.13,9518.86,82740.89,Paid
INV-000175,PRJ-0066,CLT-041,2024-07-18,2024-08-17,46672.84,0.14975,6989.26,53662.1,Paid
INV-000176,PRJ-0066,CLT-041,2024-08-15,2024-09-14,58680.43,,,,Overdue
INV-000177,PRJ-0066,CLT-041,2024-09-24,2024-10-24,35557.64,0.14975,5324.76,40882.4,Paid
INV-000178,PRJ-0067,CLT-027,2023-08-19,2023-09-18,79207.34,0.13,10296.95,89504.29,Partially Paid - Overdue
INV-000179,PRJ-0067,CLT-027,2023-08-21,2023-09-20,79325.04,0.13,10312.26,89637.3,Paid
INV-000180,PRJ-0067,CLT-027,2023-09-02,2023-10-02,90811.33,0.13,11805.47,102616.8,Paid
INV-000181,PRJ-0068,CLT-087,2024-03-10,2024-04-09,59533.53,,,,Paid
INV-000182,PRJ-0068,CLT-087,2024-04-09,2024-05-09,67062.18,0.13,8718.08,75780.26,Paid
INV-000183,PRJ-0068,CLT-087,2024-05-07,2024-06-06,43018.06,0.13,5592.35,48610.41,Paid
INV-000184, PRJ-0069,CLT-029,2025-06-10,2025-07-10,49017.85,0.05,2450.89,51468.74,Paid
INV-000185,PRJ-0069,CLT-029,2025-08-11,2025-09-10,69865.59,0.05,3493.28,73358.87,Overdue
INV-000186,PRJ-0069,CLT-029,2025-09-27,2025-10-27,65918.32,,,,Paid
INV-000187,PRJ-0070,CLT-082,2024-09-28,2024-10-28,34875.25,0.13,4533.78,39409.03,Paid
INV-000188,PRJ-0070,CLT-082,2024-10-30,2024-11-29,37463.55,0.13,4870.26,42333.81,Partially Paid - Overdue
INV-000189,PRJ-0070,CLT-082,2024-12-21,2025-01-20,45361.17,0.13,5896.95,51258.12,Paid
INV-000190,PRJ-0071,CLT-072,2023-06-05,2023-07-05,113845.01,0.13,14799.85,128644.86,Paid
INV-000191,PRJ-0071,CLT-072,2023-08-19,2023-09-18,84723.14,0.13,11014.01,95737.15,Partially Paid - Overdue
INV-000192, PRJ-0071 ,CLT-072,2023-10-25,2023-11-24,76969.52,0.13,10006.04,86975.56,Overdue
INV-000193,PRJ-0072,CLT-093,2023-09-14,2023-10-14,25555.96,0.14975,3827.01,29382.97,Partially Paid - Overdue
INV-000194,PRJ-0072,CLT-093,2023-11-10,2023-12-10,34706.84,0.14975,5197.35,39904.19,Paid
INV-000195,PRJ-0072,CLT-093,2024-01-14,2024-02-13,44524.73,0.14975,6667.58,51192.31,Paid
INV-000196,PRJ-0073,CLT-052,2024-09-23,2024-11-07,96845.61,0.13,12589.93,109435.54,Paid
INV-000197,PRJ-0073,CLT-052,2024-12-31,2025-02-14,71490.05,,,,Paid
INV-000198,PRJ-0073,CLT-052,2025-03-13,2025-04-27,110817.52,0.13,14406.28,125223.8,Paid
INV-000199,PRJ-0074,CLT-087,2023-10-05,2023-11-04,37095.63,0.13,4822.43,41918.06,Paid
INV-000200,PRJ-0074,CLT-087,2024-01-03,2024-02-02,21725.29,0.13,2824.29,24549.58,Overdue
INV-000201,PRJ-0074,CLT-087,2024-03-27,2024-04-26,30972.26,0.13,4026.39,34998.65,Partially Paid - Overdue
INV-000202,PRJ-0075,CLT-051,2024-08-12,2024-09-26,85331.52,0.12,10239.78,95571.3,Paid
INV-000203,PRJ-0075,CLT-051,2024-09-09,2024-10-24,87940.46,0.12,10552.86,98493.32,paid
INV-000204,PRJ-0075,CLT-051,2024-10-07,2024-11-21,51099.33,0.12,6131.92,57231.25,Paid
INV-000205,PRJ-0075,CLT-051,2024-11-08,2024-12-23,61105.18,,,,Paid
INV-000206,PRJ-0076,CLT-027,2023-05-10,2023-06-09,35329.06,0.13,4592.78,39921.84,Paid
INV-000207,PRJ-0076,CLT-027,2023-06-16,2023-07-16,36902.46,0.13,4797.32,41699.78,Partially Paid - Overdue
INV-000208,PRJ-0076,CLT-027,2023-06-30,2023-07-30,45397.9,0.13,5901.73,51299.63,Paid
INV-000209,PRJ-0076,CLT-027,2023-08-17,2023-09-16,45291.85,0.13,5887.94,51179.79,Paid
INV-000210,PRJ-0077,CLT-026,2023-04-14,2023-05-29,48497.16,0.05,2424.86,50922.02,Paid
INV-000211,PRJ-0077,CLT-026,2023-07-07,2023-08-21,59978.45,,,,paid
INV-000212,PRJ-0077,CLT-026,2023-10-17,2023-12-01,57164.09,0.05,2858.2,60022.29,Paid
INV-000213,PRJ-0078,CLT-005,2023-08-24,2023-09-23,24596.19,0.12,2951.54,27547.73,
INV-000214,PRJ-0078,CLT-005,2023-08-26,2023-09-25,48074.54,0.12,5768.94,53843.48,Paid
INV-000215,PRJ-0078,CLT-005,2023-09-06,2023-10-06,26360.96,0.12,3163.32,29524.28,Paid
INV-000216,PRJ-0079,CLT-082,2025-01-16,2025-02-15,111901.26,0.13,14547.16,126448.42,Paid
INV-000217,PRJ-0079,CLT-082,2025-02-06,2025-03-08,107864.67,0.13,14022.41,121887.08,Paid
INV-000218,PRJ-0079,CLT-082,2025-02-23,2025-03-25,102091.49,0.13,13271.89,115363.38,Paid
INV-000219,PRJ-0080,CLT-019,2024-04-10,2024-06-09,48603.34,,,,Overdue
INV-000220,PRJ-0081,CLT-006,2025-11-12,2025-12-27,10208.63,0.12,1225.04,11433.67,Paid
INV-000221,PRJ-0082,CLT-028,2025-05-19,2025-07-03,28276.25,0.12,3393.15,31669.4,Paid
INV-000222,PRJ-0082,CLT-028,2025-07-12,2025-08-26,22485.98,0.12,2698.32,25184.3,Partially Paid - Overdue
INV-000223,PRJ-0083,CLT-085,2024-05-18,2024-06-17,65686.86,0.13,8539.29,74226.15,Paid
INV-000224,PRJ-0083,CLT-085,2024-07-24,2024-08-23,37649.56,0.13,4894.44,42544,Paid
INV-000225,PRJ-0083,CLT-085,2024-09-04,2024-10-04,67270.77,0.13,8745.2,76015.97,
INV-000226,PRJ-0084,CLT-032,2025-10-31,2025-12-15,15721.16,0.14975,2354.24,18075.4,Partially Paid - Overdue
INV-000227,PRJ-0085,CLT-053,2023-10-25,2023-11-24,76369.29,0.13,9928.01,86297.3,paid
INV-000228,PRJ-0085,CLT-053,2023-12-09,2024-01-08,112503.13,0.13,14625.41,127128.54,Overdue
INV-000229,PRJ-0085,CLT-053,2024-01-10,2024-02-09,84900.98,0.13,11037.13,95938.11,Paid
INV-000230,PRJ-0086,CLT-011,2023-07-13,2023-09-11,64224.81,0.15,9633.72,73858.53,Partially Paid - Overdue
INV-000231,PRJ-0086,CLT-011,2023-10-05,2023-12-04,51105.43,0.15,7665.81,58771.24,Overdue
INV-000232,PRJ-0087,CLT-031,2024-07-19,2024-08-03,115800.41,0.14975,17341.11,133141.52,Paid
INV-000233,PRJ-0087,CLT-031,2024-09-17,2024-10-02,111853.59,0.14975,16750.08,128603.67,Paid
INV-000234,PRJ-0087,CLT-031,2024-11-01,2024-11-16,103400.07,0.14975,15484.16,118884.23,Paid
INV-000235,PRJ-0088,CLT-016,2023-12-06,2024-01-05,93756.01,0.13,12188.28,105944.29,overdue
INV-000236,PRJ-0088, CLT-016 ,2024-02-14,2024-03-15,94631.89,0.13,12302.15,106934.04,Partially Paid - Overdue
INV-000237,PRJ-0088,CLT-016,2024-04-25,2024-05-25,65428.49,0.13,8505.7,73934.19,Paid
INV-000238,PRJ-0089,CLT-024,2025-02-02,2025-04-03,25958.58,0.12,3115.03,29073.61,
INV-000239,PRJ-0089,CLT-024,2025-04-04,2025-06-03,21902.58,0.12,2628.31,24530.89,Partially Paid - Overdue
INV-000240,PRJ-0090,CLT-029,2025-06-05,2025-07-05,66954.26,0.05,3347.71,70301.97,Paid
