Assignment_ID,Project_ID,Consultant_ID,Role_On_Project,Assigned_Start_Date,Assigned_End_Date,Allocation_Pct,Bill_Rate_CAD,Assignment_Status
ASN-00055,PRJ-0020,CON-054,Business Analyst,2023-06-05,2023-07-17,0.4,162,Closed
ASN-00056,PRJ-0021,CON-056,Project Manager,2023-10-11,2023-11-27,0.15,297,Closed
ASN-00057,PRJ-0021,CON-058,Delivery Consultant,2023-10-12,2023-11-27,0.5,165,Closed
ASN-00058,PRJ-0022,CON-057,Project Manager,2023-02-01,2023-09-07,0.25,297,Active
ASN-00059,PRJ-0022,CON-013,Business Analyst,2023-02-15,2023-09-07,0.4,165,Active
ASN-00060,PRJ-0023,CON-032,Project Manager,2025-07-22,2025-12-31,0.3,315,Active
ASN-00061,PRJ-0023,CON-016,Business Analyst,2025-07-30,2025-12-31,0.3,162,Active
ASN-00062,prj-0024,CON-078,Project Manager,2024-02-08,2024-05-04,0.2,270,Closed
ASN-00063,PRJ-0024,CON-074,Business Analyst,2024-02-25,2024-05-04,0.75,270,Closed
ASN-00064,PRJ-0024,CON-071,Technical Specialist,2024-02-12,2024-05-04,0.4,180,Closed
ASN-00065,prj-0025,CON-017,Project Manager,2024-07-04,2024-08-31,0.15,243,Closed
ASN-00066,PRJ-0025,CON-068,Change Analyst,2024-07-05,2024-08-31,0.2,157.5,Closed
ASN-00067,PRJ-0026,CON-078,Project Manager,2024-02-21,2024-04-20,0.15,270,Closed
ASN-00068,PRJ-0026,CON-022,Lead Consultant,2024-02-14,2024-04-20,0.25,270,Closed
ASN-00069,PRJ-0026,CON-037,Lead Consultant,2024-02-11,2024-04-20,0.25,180,Closed
ASN-00070,PRJ-0027,CON-074,Project Manager,2025-09-19,2025-10-28,0.3,270,Closed
ASN-00071,prj-0027,CON-045,Delivery Consultant,2025-09-10,2025-10-28,0.6,157.5,Closed
ASN-00072,PRJ-0027,CON-008,Lead Consultant,2025-09-17,2025-10-28,0.2,189,Closed
ASN-00073,PRJ-0028,CON-075,Project Manager,2024-11-13,2025-04-26,0.3,315,Closed
ASN-00074,PRJ-0028,CON-044,Lead Consultant,2024-11-07,2025-04-26,0.6,157.5,Closed
ASN-00075,PRJ-0028,CON-008,Delivery Consultant,2024-11-07,2025-04-26,0.25,189,Closed
ASN-00076,PRJ-0029,CON-036,Project Manager,2024-01-25,2024-09-04,0.1,350,Closed
ASN-00077,PRJ-0029,CON-074,Change Analyst,2024-01-29,2024-09-04,0.2,270,Closed
ASN-00078,PRJ-0029,CON-062,Delivery Consultant,2024-01-23,2024-09-04,0.25,220,Closed
ASN-00079,PRJ-0030,CON-057,Project Manager,2025-05-04,2025-12-09,0.15,297,Active
ASN-00080,PRJ-0030,CON-070,Business Analyst,2025-05-13,2025-12-09,0.4,198,Active
ASN-00081,PRJ-0031,CON-074,Project Manager,2023-04-24,2023-08-26,0.1,270,Closed
ASN-00082,PRJ-0031,CON-026,Change Analyst,2023-04-18,2023-08-26,0.25,189,Closed
ASN-00083,PRJ-0031,CON-011,Delivery Consultant,2023-04-18,2023-08-26,0.2,189,Closed
ASN-00084,PRJ-0032,CON-017,Project Manager,2025-04-23,2025-10-02,0.3,243,Closed
ASN-00085,PRJ-0032,CON-045,Delivery Consultant,2025-04-30,2025-10-02,0.25,157.5,Closed
ASN-00086,PRJ-0032,CON-026,Business Analyst,2025-05-07,2025-10-02,0.3,189,Closed
ASN-00087,PRJ-0033,CON-077,Project Manager,2024-08-14,2025-01-20,0.2,256.5,Closed
ASN-00088,PRJ-0033,CON-080,Lead Consultant,2024-08-18,2025-01-20,1,142.5,Closed
ASN-00089,PRJ-0034,CON-006,Project Manager,2024-08-28,2025-01-13,0.1,256.5,Closed
ASN-00090,PRJ-0034,CON-029,Technical Specialist,2024-08-21,2025-01-13,0.4,189,Closed
ASN-00091,PRJ-0034,CON-026,Lead Consultant,2024-08-25,2025-01-13,0.2,189,Closed
ASN-00092,PRJ-0035,CON-017,Project Manager,2025-10-20,2025-12-31,0.1,243,Active
ASN-00093,PRJ-0035,CON-033,Technical Specialist,2025-10-17,2025-12-31,0.2,315,Active
ASN-00094,PRJ-0036,CON-057,Project Manager,2023-05-13,2023-06-19,0.15,297,Closed
ASN-00095,PRJ-0036,CON-047,Lead Consultant,2023-05-17,2023-06-19,0.4,242,Closed
ASN-00096,PRJ-0036,CON-002,Technical Specialist,2023-05-17,2023-06-19,0.4,242,Closed
ASN-00097,PRJ-0037,CON-075,Project Manager,2023-01-21,2023-03-21,0.3,315,Active
ASN-00098,PRJ-0037,CON-049,Lead Consultant,2023-01-12,2023-03-21,0.3,162,Active
ASN-00099,PRJ-0037,CON-054,Delivery Consultant,2023-01-08,2023-03-21,0.5,162,Active
ASN-00100,PRJ-0038,CON-033,Project Manager,2025-08-03,2025-12-31,0.2,315,Active
ASN-00101,PRJ-0038,CON-008,Business Analyst,2025-08-16,2025-12-31,0.75,189,Active
ASN-00102,PRJ-0038,CON-028,Delivery Consultant,2025-08-13,2025-12-31,0.3,157.5,Active
ASN-00103,PRJ-0039,CON-075,Project Manager,2024-09-01,2025-01-15,0.15,315,Closed
ASN-00104,PRJ-0039,CON-008,Technical Specialist,2024-09-03,2025-01-15,0.25,189,Closed
ASN-00105,PRJ-0039,CON-028,Business Analyst,2024-09-03,2025-01-15,0.25,157.5,Closed
ASN-00106,PRJ-0040,CON-074,Project Manager,2023-02-21,2023-08-02,0.25,270,Active
ASN-00107,PRJ-0040,CON-062,Delivery Consultant,2023-02-12,2023-08-02,0.25,220,Active
ASN-00108,PRJ-0040,CON-036,Change Analyst,2023-02-18,2023-08-02,0.4,350,Active
ASN-00109,PRJ-0041,CON-033,Project Manager,2024-01-30,2024-03-03,0.3,315,Closed
ASN-00110,PRJ-0041,CON-069,Change Analyst,2024-01-27,2024-03-03,0.6,243,Closed
ASN-00111,PRJ-0042,CON-069,Project Manager,2024-02-13,2024-08-08,0.2,243,Closed
ASN-00112,PRJ-0042,CON-008,Delivery Consultant,2024-02-25,2024-08-08,1,189,Closed
ASN-00113,PRJ-0042,CON-029,Lead Consultant,2024-02-14,2024-08-08,0.2,189,Closed
ASN-00114,PRJ-0043,CON-059,Project Manager,2025-10-12,2025-12-31,0.25,297.5,Active
ASN-00115,PRJ-0043,CON-055,Technical Specialist,2025-10-09,2025-12-31,0.2,153,Active
ASN-00116,PRJ-0043,CON-034,Lead Consultant,2025-10-13,2025-12-31,0.2,187,Active
ASN-00117,PRJ-0044,CON-022,Project Manager,2025-02-10,2025-04-18,0.1,270,Closed
ASN-00118,PRJ-0044,CON-043,Technical Specialist,2025-02-03,2025-04-18,0.2,220,Closed
ASN-00119,PRJ-0044,CON-037,Change Analyst,2025-01-30,2025-04-18,0.4,180,Closed
ASN-00120,PRJ-0045,CON-033,Project Manager,2025-07-19,2025-10-18,0.15,315,Closed
ASN-00121,PRJ-0045,CON-017,Delivery Consultant,2025-07-16,2025-10-18,0.75,243,Closed
ASN-00122,PRJ-0046,CON-033,Project Manager,2023-01-27,2023-03-16,0.2,315,Closed
ASN-00123,PRJ-0046,CON-054,Lead Consultant,2023-02-07,2023-03-16,0.5,162,Closed
ASN-00124,PRJ-0046,CON-032,Business Analyst,2023-02-07,2023-03-16,0.3,315,Closed
ASN-00125,PRJ-0046,CON-016,Business Analyst,2023-02-07,2023-03-16,0.25,162,Closed
ASN-00126,PRJ-0047,CON-038,Project Manager,2023-05-08,2023-07-03,0.3,256.5,Active
ASN-00127,PRJ-0047,CON-072,Technical Specialist,2023-04-26,2023-07-03,0.2,142.5,Active
ASN-00128,PRJ-0048,CON-057,Project Manager,2024-05-15,2024-07-27,0.3,297,Closed
ASN-00129,PRJ-0048,CON-002,Change Analyst,2024-05-25,2024-07-27,0.3,242,Closed
ASN-00130,PRJ-0049,CON-033,Project Manager,2023-10-04,2024-01-09,0.1,315,Closed
ASN-00131, PRJ-0049,CON-073,Business Analyst,2023-10-19,2024-01-09,0.3,198,Closed
ASN-00132,PRJ-0049,CON-054,Delivery Consultant,2023-10-14,2024-01-09,0.4,162,Closed
ASN-00133,PRJ-0050,CON-032,Project Manager,2023-12-19,2024-01-19,0.15,315,Active
ASN-00134,PRJ-0050,CON-008,Lead Consultant,2023-12-17,2024-01-19,0.4,189,Active
ASN-00135,PRJ-0050,CON-068,Delivery Consultant,2023-12-10,2024-01-19,0.5,157.5,Active
ASN-00136,PRJ-0051,CON-015,Project Manager,2025-09-25,2025-12-31,0.25,350,Active
ASN-00137,PRJ-0051,CON-014,Lead Consultant,2025-09-22,2025-12-31,0.25,220,Active
ASN-00138,PRJ-0051,con-039 ,Technical Specialist,2025-09-15,2025-12-31,0.4,150,Active
ASN-00139,PRJ-0051,CON-043,Lead Consultant,2025-09-11,2025-12-31,0.4,220,Active
ASN-00140,prj-0052 ,CON-006,Project Manager,2025-09-18,2025-12-31,0.2,256.5,Active
ASN-00141,PRJ-0052,con-038 ,Lead Consultant,2025-10-06,2025-12-31,0.75,256.5,Active
ASN-00142,PRJ-0052,CON-042,Business Analyst,2025-09-26,2025-12-31,0.5,171,Active
ASN-00143,PRJ-0053,CON-074,Project Manager,2023-07-21,2023-08-19,0.1,270,Closed
ASN-00144,PRJ-0053,CON-062,Business Analyst,2023-07-18,2023-08-19,0.6,220,Closed
ASN-00145,PRJ-0054,CON-074,Project Manager,2024-09-17,2025-01-19,0.1,270,Active
ASN-00146,PRJ-0054,CON-039,Lead Consultant,2024-09-06,2025-01-19,0.6,150,Active
ASN-00147,PRJ-0054,CON-078,Change Analyst,2024-09-18,2025-01-19,0.75,270,Active
ASN-00148,PRJ-0055,CON-038,Project Manager,2024-07-02,2025-01-04,0.1,256.5,Closed
ASN-00149,PRJ-0055,CON-072,Change Analyst,2024-06-29,2025-01-04,0.75,142.5,Closed
ASN-00150,PRJ-0055,CON-035,Change Analyst,2024-07-03,2025-01-04,0.4,142.5,Closed
ASN-00151,PRJ-0055,CON-007,Business Analyst,2024-07-03,2025-01-04,0.4,142.5,Closed
ASN-00152,PRJ-0056,CON-056,Project Manager,2025-07-03,2025-12-31,0.1,297,Active
ASN-00153,PRJ-0056,CON-009,Delivery Consultant,2025-07-20,2025-12-31,0.2,242,Active
ASN-00154,PRJ-0056,CON-047,Delivery Consultant,2025-07-10,2025-12-31,0.3,242,Active
ASN-00155,PRJ-0057,CON-038,Project Manager,2024-07-03,2024-10-27,0.3,256.5,Closed
ASN-00156,PRJ-0057, CON-028,Delivery Consultant,2024-07-01,2024-10-27,0.4,157.5,Closed
ASN-00157,PRJ-0057,CON-011,Technical Specialist,2024-07-15,2024-10-27,1,189,Closed
ASN-00158,PRJ-0058,CON-038,Project Manager,2025-01-28,2025-07-02,0.3,256.5,Closed
ASN-00159,PRJ-0058,CON-020,Lead Consultant,2025-01-28,2025-07-02,0.2,209,Closed
ASN-00160,PRJ-0059,CON-032,Project Manager,2025-03-31,2025-05-27,0.1,315,Closed
ASN-00161,PRJ-0059,CON-017,Technical Specialist,2025-03-23,2025-05-27,0.2,243,Closed
ASN-00162,PRJ-0059,CON-069,Lead Consultant,2025-03-21,2025-05-27,0.3,243,Closed
ASN-00163,PRJ-0060,CON-059,Project Manager,2024-02-27,2024-04-18,0.25,297.5,Closed
ASN-00164,PRJ-0060,CON-040,Delivery Consultant,2024-03-09,2024-04-18,0.25,187,Closed
ASN-00165,PRJ-0060,CON-064,Lead Consultant,2024-03-02,2024-04-18,0.2,127.5,Closed
ASN-00166,PRJ-0061,CON-077,Project Manager,2024-02-03,2024-08-15,0.3,256.5,Closed
ASN-00167,prj-0061 ,CON-012,Lead Consultant,2024-02-11,2024-08-15,0.75,142.5,Closed
ASN-00168,PRJ-0062,CON-048,Project Manager,2024-02-22,2024-05-07,0.1,256.5,Closed
ASN-00169,PRJ-0062,CON-005,Technical Specialist,2024-02-06,2024-05-07,0.3,171,Closed
ASN-00170,PRJ-0062,CON-007,Lead Consultant,2024-02-24,2024-05-07,0.75,142.5,Closed
ASN-00171,PRJ-0063,CON-059,Project Manager,2024-09-14,2024-11-12,0.1,297.5,Closed
ASN-00172,PRJ-0063,CON-040,Delivery Consultant,2024-09-15,2024-11-12,0.4,187,Closed
ASN-00173,PRJ-0064,CON-059,Project Manager,2023-04-01,2023-09-05,0.15,297.5,Closed
ASN-00174,PRJ-0064,CON-055,Technical Specialist,2023-03-31,2023-09-05,0.5,153,Closed
ASN-00175,PRJ-0065, CON-074,Project Manager,2023-11-12,2024-05-09,0.1,270,Closed
ASN-00176,PRJ-0065,CON-078,Change Analyst,2023-11-23,2024-05-09,0.3,270,Closed
ASN-00177,PRJ-0065,CON-015,Lead Consultant,2023-11-18,2024-05-09,0.5,350,Closed
ASN-00178,PRJ-0066,CON-033,Project Manager,2024-06-14,2024-08-18,0.2,315,Closed
ASN-00179,PRJ-0066,CON-049,Business Analyst,2024-05-29,2024-08-18,1,162,Closed
ASN-00180,PRJ-0066,CON-069,Lead Consultant,2024-06-02,2024-08-18,0.5,243,Closed
ASN-00181,PRJ-0066,CON-017,Business Analyst,2024-06-01,2024-08-18,0.25,243,Closed
ASN-00182,PRJ-0067,CON-075,Project Manager,2023-08-10,2023-08-29,0.25,315,Closed
ASN-00183,PRJ-0067,CON-032,Change Analyst,2023-08-08,2023-08-29,0.2,315,Closed
ASN-00184,PRJ-0068,CON-033,Project Manager,2024-02-10,2024-05-13,0.2,315,Closed
ASN-00185,PRJ-0068,CON-046,Change Analyst,2024-02-24,2024-05-13,0.25,135,Closed
ASN-00186,PRJ-0068,CON-075,Delivery Consultant,2024-02-11,2024-05-13,0.25,315,Closed
ASN-00187,PRJ-0069,CON-032,Project Manager,2025-04-25,2025-08-23,0.15,315,Closed
ASN-00188,PRJ-0069,CON-073,Lead Consultant,2025-04-30,2025-08-23,0.75,198,Closed
ASN-00189,PRJ-0070,CON-038,Project Manager,2024-09-02,2024-11-09,0.25,256.5,Closed
ASN-00190,PRJ-0070,CON-024,Delivery Consultant,2024-08-31,2024-11-09,0.6,209,Closed
ASN-00191,PRJ-0071,CON-077,Project Manager,2023-04-12,2023-09-19,0.25,256.5,Closed
ASN-00192,PRJ-0071,CON-051,Lead Consultant,2023-04-14,2023-09-19,0.2,209,Closed
ASN-00193,PRJ-0071,CON-038,Technical Specialist,2023-03-29,2023-09-19,0.5,256.5,Closed
ASN-00194,PRJ-0072,CON-006,Project Manager,2023-07-16,2024-01-16,0.1,256.5,Closed
ASN-00195,PRJ-0072,CON-072,Technical Specialist,2023-07-17,2024-01-16,1,142.5,Closed
ASN-00196,PRJ-0073,CON-057,Project Manager,2024-07-21,2025-01-29,0.25,297,Closed
ASN-00197,PRJ-0073,CON-056,Technical Specialist,2024-07-21,2025-01-29,0.2,297,Closed
ASN-00198,PRJ-0074,CON-022,Project Manager,2023-07-13,2024-02-22,0.25,270,Closed
ASN-00199,PRJ-0074,CON-011,Delivery Consultant,2023-07-12,2024-02-22,0.4,189,Closed
ASN-00200,PRJ-0074,CON-028 ,Delivery Consultant,2023-07-13,2024-02-22,0.6,157.5,Closed
ASN-00201,PRJ-0075,CON-038,Project Manager,2024-07-19,2024-10-17,0.1,256.5,Closed
ASN-00202,PRJ-0075,CON-035,Business Analyst,2024-07-14,2024-10-17,0.3,142.5,Closed
ASN-00203,PRJ-0075,CON-007,Business Analyst,2024-07-21,2024-10-17,0.6,142.5,Closed
ASN-00204,PRJ-0076,CON-017,Project Manager,2023-04-08,2023-06-24,0.25,243,Closed
ASN-00205,PRJ-0076,CON-032,Change Analyst,2023-04-12,2023-06-24,0.25,315,Closed
ASN-00206,PRJ-0076,CON-049,Delivery Consultant,2023-04-12,2023-06-24,0.2,162,Closed
ASN-00207,PRJ-0077,CON-059,Project Manager,2023-02-10,2023-09-08,0.2,297.5,Closed
ASN-00208,PRJ-0077,CON-040 ,Change Analyst,2023-02-01,2023-09-08,1,187,Closed
ASN-00209,prj-0078,CON-075,Project Manager,2023-08-19,2023-09-10,0.2,315,Closed
ASN-00210,PRJ-0078,CON-046,Change Analyst,2023-08-17,2023-09-10,0.2,135,Closed
ASN-00211,PRJ-0079,CON-074,Project Manager,2025-01-10,2025-02-10,0.1,270,Closed
ASN-00212,PRJ-0079,CON-071,Delivery Consultant,2025-01-08,2025-02-10,0.75,180,Closed
ASN-00213,PRJ-0079,CON-010,Technical Specialist,2025-01-08,2025-02-10,1,150,Closed
ASN-00214,PRJ-0080,CON-048,Project Manager,2024-01-03,2024-05-01,0.15,256.5,Closed
ASN-00215,PRJ-0080,CON-072,Technical Specialist,2023-12-19,2024-05-01,0.75,142.5,Closed
ASN-00216,PRJ-0080,CON-006,Lead Consultant,2023-12-20,2024-05-01,0.6,256.5,Closed
ASN-00217,PRJ-0080,CON-038,Technical Specialist,2023-12-25,2024-05-01,0.75,256.5,Closed
ASN-00218,PRJ-0081,CON-059,Project Manager,2025-10-21,2025-12-31,0.3,297.5,Active
ASN-00219,PRJ-0081,CON-034,Technical Specialist,2025-10-19,2025-12-31,0.5,187,Active
ASN-00220,PRJ-0082,CON-059,Project Manager,2025-04-02,2025-07-10,0.2,297.5,Closed
ASN-00221,PRJ-0082,CON-060,Change Analyst,2025-04-06,2025-07-10,0.6,153,Closed
ASN-00222,PRJ-0082,CON-034,Technical Specialist,2025-04-18,2025-07-10,0.75,187,Closed
ASN-00223,PRJ-0083,CON-056,Project Manager,2024-04-27,2024-09-09,0.2,297,Closed
ASN-00224,PRJ-0083,CON-058,Business Analyst,2024-04-14,2024-09-09,0.2,165,Closed
ASN-00225,PRJ-0083,CON-047,Change Analyst,2024-04-08,2024-09-09,0.4,242,Closed
ASN-00226,PRJ-0083,CON-018,Lead Consultant,2024-04-23,2024-09-09,0.5,198,Closed
ASN-00227,PRJ-0084,CON-077,Project Manager,2025-08-20,2025-12-31,0.2,256.5,Active
ASN-00228,PRJ-0084,CON-051,Technical Specialist,2025-08-10,2025-12-31,0.25,209,Active
ASN-00229,PRJ-0084,CON-020,Technical Specialist,2025-08-14,2025-12-31,0.6,209,Active
ASN-00230,PRJ-0085,CON-036,Project Manager,2023-10-20,2023-12-22,0.2,350,Closed
ASN-00231,PRJ-0085,CON-015,Lead Consultant,2023-10-21,2023-12-22,0.2,350,Closed
ASN-00232,PRJ-0085,CON-039,Business Analyst,2023-10-20,2023-12-22,0.3,150,Closed
ASN-00233,PRJ-0085,CON-037,Change Analyst,2023-10-12,2023-12-22,0.5,180,Closed
ASN-00234,PRJ-0086,CON-017,Project Manager,2023-04-16,2023-09-17,0.1,243,Closed
ASN-00235,PRJ-0086,CON-073,Business Analyst,2023-04-18,2023-09-17,0.25,198,Closed
ASN-00236,PRJ-0086,CON-016,Delivery Consultant,2023-05-04,2023-09-17,0.5,162,Closed
ASN-00237,PRJ-0086,CON-075,Change Analyst,2023-04-29,2023-09-17,0.6,315,Closed
ASN-00238,PRJ-0087,CON-078,Project Manager,2024-05-27,2024-10-02,0.3,270,Closed
ASN-00239,PRJ-0087,CON-041,Delivery Consultant,2024-06-06,2024-10-02,0.75,150,Closed
ASN-00240,PRJ-0087,CON-043,Delivery Consultant,2024-06-03,2024-10-02,0.25,220,Closed
ASN-00241,PRJ-0087,CON-010,Lead Consultant,2024-06-01,2024-10-02,0.2,150,Closed
ASN-00242,PRJ-0088,CON-078,Project Manager,2023-10-14,2024-04-15,0.25,270,Closed
ASN-00243,PRJ-0088,CON-037,Lead Consultant,2023-10-10,2024-04-15,1,180,Closed
ASN-00244,PRJ-0088,CON-010,Business Analyst,2023-10-03,2024-04-15,0.25,150,Closed
ASN-00245,PRJ-0089,CON-059,Project Manager,2025-01-06,2025-03-25,0.15,297.5,Active
ASN-00246,PRJ-0089,CON-067,Change Analyst,2025-01-12,2025-03-25,1,187,Active
ASN-00247,PRJ-0089,CON-040,Business Analyst,2025-01-07,2025-03-25,0.2,187,Active
ASN-00248,PRJ-0089,CON-064,Lead Consultant,2025-01-06,2025-03-25,0.3,127.5,Active
ASN-00249,PRJ-0090,CON-006,Project Manager,2025-05-02,2025-08-23,0.1,256.5,Closed
ASN-00250,PRJ-0090,CON-031,Technical Specialist,2025-05-03,2025-08-23,0.75,142.5,Closed
ASN-00251,PRJ-0091,CON-077,Project Manager,2023-05-11,2023-06-28,0.25,256.5,Closed
ASN-00252,PRJ-0091,CON-006,Delivery Consultant,2023-05-20,2023-06-28,0.6,256.5,Closed
ASN-00253,PRJ-0091,CON-019,Change Analyst,2023-05-14,2023-06-28,0.75,209,Closed
ASN-00254,PRJ-0092,CON-075,Project Manager,2023-05-23,2023-11-30,0.15,315,Active
ASN-00255,PRJ-0092,CON-049,Business Analyst,2023-05-15,2023-11-30,0.6,162,Active
ASN-00256,PRJ-0093,CON-069,Project Manager,2023-03-28,2023-05-09,0.15,243,Closed
ASN-00257,PRJ-0093,CON-073,Business Analyst,2023-04-07,2023-05-09,0.2,198,Closed
ASN-00258,PRJ-0093,CON-033,Change Analyst,2023-03-28,2023-05-09,1,315,Closed
ASN-00259,PRJ-0094,CON-048,Project Manager,2024-01-16,2024-03-06,0.2,256.5,Closed
ASN-00260,PRJ-0094,CON-008,Delivery Consultant,2024-01-25,2024-03-06,0.75,189,Closed
ASN-00261,PRJ-0095,CON-069,Project Manager,2025-08-25,2025-12-15,0.3,243,Closed
ASN-00262,PRJ-0095,CON-075,Delivery Consultant,2025-08-29,2025-12-15,0.5,315,Closed
ASN-00263,PRJ-0095,CON-033,Technical Specialist,2025-08-26,2025-12-15,0.3,315,Closed
ASN-00264,PRJ-0095,CON-049,Technical Specialist,2025-09-08,2025-12-15,1,162,Closed
ASN-00265,PRJ-0096,CON-015,Project Manager,2025-01-28,2025-03-10,0.15,350,Closed
ASN-00266,PRJ-0096,CON-022,Technical Specialist,2025-02-11,2025-03-10,0.5,270,Closed
ASN-00267,PRJ-0097,CON-048,Project Manager,2025-04-16,2025-04-23,0.25,256.5,Closed
ASN-00268,PRJ-0097,CON-077,Business Analyst,2025-03-31,2025-04-15,0.75,256.5,Closed
ASN-00269,PRJ-0097,CON-012,Change Analyst,2025-04-05,2025-04-15,0.5,142.5,Closed
