Feedback_ID,Project_ID,Feedback_Date,Delivery_Quality_Score,Communication_Score,Value_For_Money_Score,Overall_Satisfaction_Score,Would_Recommend
FDB-00040,PRJ-0072,2024-01-20,4.3,4.6,4.4,4.4,
FDB-00041,prj-0073,2025-03-26,3.7,3.3,3.1,,No
FDB-00042,PRJ-0074,2024-04-21,3.2,3.4,3.5,3.4,No
FDB-00043,PRJ-0075,2024-11-10,4,4.1,3.7,3.9,
FDB-00044,PRJ-0077,2023-10-15,3.6,3.2,3.3,3.4,No
FDB-00045,PRJ-0079,2025-03-13,3.6,4.1,3.6,,Maybe
FDB-00046,PRJ-0080,2024-05-11,3.1,3.2,3.1,,No
FDB-00047,PRJ-0082,2025-07-25,4.3,4.1,4.3,,Yes
FDB-00048,PRJ-0083,2024-09-17,4.4,4.1,4.5,4.3,Yes
FDB-00049,PRJ-0085,2024-02-01,3.9,3.9,3.7,3.9,Maybe
FDB-00050,PRJ-0086,2023-10-27,3.3,3.3,3.5,3.3,No
FDB-00051,PRJ-0087,2024-11-06,4.5,4.1,4,4.2,Yes
FDB-00052,PRJ-0088,2024-05-04,3.1,3.3,3.4,3.3,No
FDB-00053,PRJ-0090,2025-08-29,3.9,3.9,4.3,,Yes
FDB-00054,PRJ-0091,2023-08-01,3.5,3.6,3.1,3.4,No
FDB-00055,PRJ-0093,2023-06-18,3,2.7,2.6,2.7,No
FDB-00056,PRJ-0094 ,2024-04-30,3.2,3.4,3.1,3.3,No
FDB-00057,PRJ-0095,2025-12-23,3.1,3.5,3.4,,No
FDB-00058,PRJ-0099,2025-09-04,3.7,3.4,3.3,3.5,Maybe
FDB-00059,PRJ-0100,2024-07-07,3.4,3.4,3.4,,No
FDB-00060,PRJ-0101,2023-10-19,4.2,4.4,4.3,4.3,Yes
FDB-00061,PRJ-0102,2024-10-08,3,3.1,2.7,2.9,No
FDB-00062,PRJ-0103,2024-07-04,3.6,3.5,3.2,,
FDB-00063,PRJ-0104,2024-04-24,3,3.2,2.9,3.1,No
FDB-00064,PRJ-0105,2025-08-02,3.6,3.5,3.6,,
FDB-00065,PRJ-0106,2025-02-21,4.3,4.6,4.5,4.4,Yes
FDB-00066,PRJ-0107,2024-06-16,4.5,4.3,3.9,4.2,Yes
FDB-00067, PRJ-0109 ,2025-01-01,3.1,3.3,3.2,3.2,No
FDB-00068,prj-0110 ,2025-02-05,3.2,3.2,3,3.1,No
FDB-00069,PRJ-0114,2024-12-05,3.7,3.6,3.8,3.7,Maybe
FDB-00070,PRJ-0115,2025-09-07,3.8,3.7,4.2,3.9,Maybe
FDB-00071,PRJ-0118,2024-12-14,4.3,4.5,4.5,4.5,Yes
FDB-00072,PRJ-0119,2025-02-06,3.7,3.4,3.2,3.4,
FDB-00073,PRJ-0120,2023-11-10,3.5,3.4,3.5,3.5,
FDB-00074,PRJ-0121,2023-10-05,3.3,3.2,3,3.2,No
FDB-00075,PRJ-0125,2025-05-18,3.7,4.1,4.1,3.9,Maybe
FDB-00076,PRJ-0126,2023-10-20,4.2,4.4,4.4,4.3,Yes
FDB-00077, PRJ-0127 ,2023-09-19,4.4,4.5,4.6,,Yes
FDB-00078,PRJ-0128,2024-01-06,3.7,4.2,4.1,4,Yes
FDB-00079,PRJ-0132,2025-01-24,3.9,3.8,4,3.9,Maybe
FDB-00080,PRJ-0133,2025-08-03,4.3,4.3,3.9,,Yes
FDB-00081,PRJ-0134,2025-01-08,3.3,3.7,3.3,3.4,No
FDB-00082,PRJ-0136,2024-11-17,3.6,3.7,3.4,3.6,Maybe
FDB-00083,PRJ-0137,2024-12-28,3.6,3.7,3.6,3.6,Maybe
FDB-00084,PRJ-0138,2024-12-17,3.2,3.4,3.2,3.3,No
FDB-00085,PRJ-0139,2024-07-09,4.6,4.5,4.4,4.5,Yes
FDB-00086,PRJ-0142 ,2024-09-12,4,4.2,4.1,4.1,Yes
FDB-00087,PRJ-0143,2025-10-21,4.1,4.4,4.2,4.2,Yes
FDB-00088,PRJ-0144,2024-02-20,3.6,3.4,3.3,3.4,No
FDB-00089,PRJ-0145,2025-08-02,4.4,4.3,4.1,4.3,Yes
FDB-00090,PRJ-0147,2025-03-30,3.1,3.3,3,3.1,
FDB-00091,PRJ-0148,2024-02-04,3.3,3.6,3.3,3.4,No
FDB-00092,PRJ-0149,2025-08-20,3.4,3.6,3.8,3.6,Maybe
FDB-00093,PRJ-0152,2023-10-10,3.3,3.5,3.4,3.4,No
FDB-00094,PRJ-0153 ,2023-10-26,4.1,3.8,4,,Yes
FDB-00095,PRJ-0154 ,2023-06-03,4.1,4.1,4.2,4.1,Yes
FDB-00096,prj-0155 ,2023-12-26,3.7,3.8,4.1,3.9,Maybe
FDB-00097,PRJ-0156,2023-09-05,3.6,3.9,3.3,,Maybe
FDB-00098,PRJ-0159,2023-08-07,3.6,3.9,3.7,3.7,Maybe
FDB-00099,PRJ-0161,2024-07-05,4.6,4.4,4.1,4.4,
FDB-00100,PRJ-0163,2025-12-09,3.1,3.3,3.2,3.2,No
FDB-00101,PRJ-0165,2023-10-10,3.6,3.2,3.7,,Maybe
FDB-00102,PRJ-0168,2023-09-13,3,2.8,3.2,,No
FDB-00103,PRJ-0170,2024-02-29,3.4,3.8,3.3,3.5,Maybe
FDB-00104,PRJ-0171,2025-07-12,3.3,3.4,3.4,3.4,No
FDB-00105,PRJ-0173,2023-06-14,4.2,3.9,4.1,4,Yes
FDB-00106,PRJ-0175,2023-05-11,4,4,4.2,4.1,
FDB-00107,PRJ-0176,2024-02-14,3.2,3.2,3.6,3.3,No
FDB-00108,PRJ-0180,2024-04-29,4.4,4.5,4.1,4.3,Yes
FDB-00109,PRJ-0181,2024-02-11,3.9,4,4.1,4,Yes
FDB-00110,PRJ-0182,2024-11-09,4,4.3,3.8,4,Yes
FDB-00111,prj-0183 ,2024-09-28,3.9,3.8,4,3.9,Maybe
FDB-00112,PRJ-0186,2025-11-20,3.3,3.2,3.5,3.3,No
FDB-00113,PRJ-0188,2024-06-27,4.4,4.1,3.9,,Yes
FDB-00114,PRJ-0189,2023-07-16,3.7,3.9,3.7,3.8,Maybe
FDB-00115,PRJ-0190,2025-01-09,4.4,4.5,4.7,,
FDB-00116,PRJ-0193,2024-01-23,3.8,3.8,3.9,3.8,Maybe
FDB-00117,prj-0195 ,2025-05-21,3,3,3,3,
FDB-00118,PRJ-0196,2024-07-15,3.3,3.1,3.2,3.2,No
FDB-00119,PRJ-0197,2025-08-26,3.9,4.1,3.7,3.9,
FDB-00120,PRJ-0198,2025-12-21,3.9,4.2,4.1,4.1,Yes
FDB-00121,PRJ-0200,2023-06-08,3,3.3,3,3.1,No
FDB-00122,PRJ-0201,2025-01-21,3.7,4,3.3,3.7,Maybe
FDB-00123,PRJ-0203,2024-06-21,3.2,3.5,3.3,,No
FDB-00124,PRJ-0204,2025-07-10,3,3.5,3.2,3.3,No
FDB-00125, PRJ-0206,2024-11-21,3.6,3.3,3.3,3.4,No
FDB-00126,PRJ-0209,2024-09-02,4.4,4.4,4.8,4.6,Yes
FDB-00127,PRJ-0210,2023-09-23,3.8,3.9,3.7,3.8,Maybe
FDB-00128,PRJ-0214,2024-03-31,3.1,3,3.1,3.1,No
FDB-00129,PRJ-0215,2024-02-05,3.6,3.3,3.3,3.4,No
FDB-00130, PRJ-0218,2024-09-21,4.7,4.6,4.6,4.6,Yes
FDB-00131,PRJ-0220,2024-02-23,3.7,3.9,4.1,3.9,
FDB-00132,PRJ-0221,2023-10-29,4.3,4.2,4.1,4.2,Yes
FDB-00133,PRJ-0222,2025-11-10,3.2,3.4,3.1,3.2,No
FDB-00134,PRJ-0225,2024-01-12,4,4.2,4.1,4.1,Yes
FDB-00135,PRJ-0227,2025-11-05,3.8,3.8,3.5,3.7,
FDB-00136,PRJ-0229,2023-08-07,4.3,4.1,4.2,,Yes
FDB-00137, PRJ-0231 ,2025-02-28,3.3,3.4,3.1,3.3,No
FDB-00138,PRJ-0234,2024-09-17,3.1,3,3,,No
FDB-00139,PRJ-0235,2025-07-12,3.8,3.7,3.6,,Maybe
FDB-00140,PRJ-0236,2024-06-14,4.1,4.4,3.7,4.1,Yes
FDB-00141,PRJ-0237,2023-11-07,2.8,3.2,2.6,2.9,No
FDB-00142,PRJ-0238,2025-04-18,3.8,3.6,3.7,3.7,Maybe
FDB-00143,PRJ-0240,2024-11-13,3.5,3.9,3.8,3.7,Maybe
FDB-00144,PRJ-0242,2025-10-19,3.6,3.8,3.6,3.7,Maybe
FDB-00145,PRJ-0244,2025-03-03,3.5,3.4,3.7,,Maybe
FDB-00146, PRJ-0245,2024-10-15,3.3,3.3,3.3,3.3,
FDB-00147,PRJ-0246,2024-10-29,4.1,4.3,3.7,,Yes
FDB-00148,PRJ-0247,2023-09-15,2.8,3.1,2.8,2.9,No
FDB-00149,prj-0248,2025-09-05,3.6,3.9,3.7,3.7,Maybe
FDB-00150,PRJ-0249,2025-01-20,4.4,4.4,4.1,,Yes
FDB-00151,PRJ-0251,2025-06-30,3.1,3.5,3.2,3.3,No
FDB-00152,PRJ-0252,2024-03-26,3.8,4,3.6,3.8,Maybe
FDB-00153,PRJ-0253,2024-02-12,3.2,3.3,3.2,3.3,
FDB-00154,PRJ-0254,2023-03-27,4.3,3.9,4.2,4.2,Yes
FDB-00155,PRJ-0255,2023-09-02,3.4,3.2,3.3,3.3,No
FDB-00156,PRJ-0256,2025-10-11,3.7,4,3.9,,Maybe
FDB-00157,PRJ-0257,2024-12-31,4,4.1,3.6,3.9,Maybe
FDB-00158,PRJ-0258,2025-06-15,3.4,3.2,3.1,3.3,No
FDB-00159,PRJ-0260,2025-11-26,3.1,2.8,3.2,3,No
