Payment_ID,Invoice_ID,Payment_Date,Payment_Amount_CAD,Payment_Method,Payment_Status
PAY-000042,INV-000041,2024-11-07,57615.15,Credit Card,Cleared
PAY-000043,INV-000042,2024-10-16,19835.83,EFT,Cleared
PAY-000044,INV-000043,2025-06-04,121592.89, Cheque ,Cleared
PAY-000045,INV-000044,2025-07-24,145426.05,EFT,Cleared
PAY-000046,INV-000045,2025-11-12,124235.61,Cheque,Cleared
PAY-000047,INV-000046,2023-04-16,27392.68,EFT,Cleared
PAY-000048,INV-000047,2023-05-07,52670.77,CREDIT CARD,Cleared
PAY-000049,INV-000048,2023-09-16,24739.77,Credit Card,Cleared
PAY-000050,INV-000049,2023-09-09,59033.55,Credit Card,Cleared
PAY-000051,INV-000051,2023-10-11,58479.21,EFT,Cleared
PAY-000052,INV-000052,2023-11-16,178553.13,EFT,Cleared
PAY-000053,INV-000053,2024-02-13,41553.54,Credit Card,Cleared
PAY-000054,INV-000054,2024-01-12,140213.29,EFT,Cleared
PAY-000055,INV-000055,2023-06-22,17370.19,Wire,Cleared
PAY-000056,INV-000056,2023-10-01,4477.12,Cheque,Cleared
PAY-000057,INV-000056 ,2023-10-02,3499.61,Wire,Cleared
PAY-000058,INV-000057,2023-09-28,15915.06,EFT,Cleared
PAY-000059,INV-000058,2025-11-17,4363.78, Wire ,Cleared
PAY-000060, INV-000058 ,2025-11-17,3859.07,EFT,Cleared
PAY-000061,INV-000059,2024-05-16,62282.99,EFT,Cleared
PAY-000062,INV-000060,2024-08-13,114959.78,EFT,Cleared
PAY-000063,INV-000061,2024-07-01,141755.78,Cheque,Cleared
PAY-000064,INV-000062,2024-09-20,93341.12,Wire,Cleared
PAY-000065,INV-000063,2024-10-07,73364.05,Wire,Cleared
PAY-000066,INV-000064,2024-12-29,112586.89,Credit Card,Cleared
PAY-000067,INV-000065,2024-05-14,54347.56,Wire,Cleared
PAY-000068,INV-000066,2025-11-04,96069.7,Wire,Cleared
PAY-000069,INV-000067,2025-11-26,61523.04,Credit Card,Cleared
PAY-000070,INV-000068,2025-02-14,72798.36,Credit Card,Cleared
PAY-000071,INV-000069,2025-04-12,27457.93,Wire,Cleared
PAY-000072,INV-000070,2025-05-26,64104.72,Cheque,Cleared
PAY-000073,INV-000071,2025-06-20,36688.52,EFT,Cleared
PAY-000074,INV-000072,2024-04-21,75608.5,Cheque,Cleared
PAY-000075,INV-000074,2024-09-02,123854.19,Wire,Cleared
PAY-000076,INV-000075,2024-11-23,111973.76,Wire,Cleared
PAY-000077,INV-000078,2025-12-28,27165.94,Wire,Cleared
PAY-000078,inv-000079,2023-08-28,42404.53,Credit Card,Cleared
PAY-000079,INV-000080,2023-08-28,42170.9,Cheque,Cleared
PAY-000080,INV-000081,2023-11-26,7159.66,Wire,Cleared
PAY-000081,INV-000081,2023-11-25,4749.83,Wire,Cleared
PAY-000082,INV-000082,2025-10-17,53394,Credit Card,Cleared
PAY-000083,INV-000084,2024-11-28,35577.01,Cheque,Cleared
PAY-000084,INV-000085,2025-01-08,32600.51,Credit Card,Cleared
PAY-000085,INV-000086,2025-03-31,49854.3,Credit Card,Cleared
PAY-000086,INV-000087,2024-12-24,80508.99,Wire,Cleared
PAY-000087,inv-000088 ,2025-03-16,75707.6,Credit Card,Cleared
PAY-000088,INV-000090,2023-07-13,111736.19,EFT,Cleared
PAY-000089,INV-000091,2023-07-04,116314.48,Wire,Cleared
PAY-000090, INV-000092,2023-07-17,144828.69,Cheque,Cleared
PAY-000091,INV-000093,2023-04-07,40430.05,Credit Card,Cleared
PAY-000092,INV-000094,2023-04-19,56703.01,EFT,Cleared
PAY-000093,INV-000095,2023-04-16,67141.77,Wire,Cleared
PAY-000094,INV-000099,2024-11-05,14865.64,Credit Card,Cleared
PAY-000095,INV-000100,2025-01-03,4957.07,CREDIT CARD,Cleared
PAY-000096,INV-000100,2025-01-03,5079.09,Wire,Cleared
PAY-000097,INV-000101,2025-03-27,14932.71,Credit Card,Cleared
PAY-000098,INV-000102,2025-03-19,64396.78,EFT,Cleared
PAY-000099,INV-000103,2023-06-25,15429.38,Wire,Cleared
PAY-000100,INV-000104,2023-09-10,26569.03,Cheque,Cleared
PAY-000101,INV-000106,2024-03-12,6410.13,Cheque,Cleared
PAY-000102,INV-000108,2024-05-10,109810.27,Cheque,Cleared
PAY-000103,INV-000109,2024-07-28,117734.04,Wire,Cleared
PAY-000104,INV-000110,2024-09-03,126172.07,Wire,Cleared
PAY-000105,INV-000111,2025-12-15,17251.23,Cheque,Cleared
PAY-000106,INV-000113,2025-04-28,142152.26,Credit Card,Cleared
PAY-000107,INV-000114,2025-04-12,54430.53,Wire,Cleared
PAY-000108,INV-000115,2025-05-26,79281.2,Wire,Cleared
PAY-000109,INV-000116,2025-10-29,36777.19,Wire,Cleared
PAY-000110,INV-000117,2025-10-25,53219.61,Wire,Cleared
PAY-000111,INV-000118,2025-12-04,35348.82,Credit Card,Cleared
PAY-000112,INV-000119,2023-03-06,7926.53,Cheque,Cleared
PAY-000113,INV-000120,2023-05-31,25327.18,Wire,Cleared
PAY-000114,INV-000121,2023-05-15,29293.38,Wire,Cleared
PAY-000115,INV-000123,2023-07-11,70297.83,Cheque,Cleared
PAY-000116,INV-000124,2023-08-29,35203.01,EFT,Cleared
PAY-000117,INV-000125,2023-09-26,40124.98,Wire,Cleared
PAY-000118,INV-000126,2024-06-27,65677.98,Credit Card,Cleared
PAY-000119,INV-000127,2024-09-18,48800.15,Credit Card,Cleared
PAY-000120,INV-000129,2023-12-09,39443.5,Cheque,Cleared
PAY-000121,INV-000130,2024-02-12,30502.49,Credit Card,Cleared
PAY-000122,INV-000131,2024-03-24,24493.79,Wire,Cleared
PAY-000123,INV-000132,2024-04-14,53006.79,EFT,Cleared
PAY-000124,INV-000133,2024-03-06,37211.77,Wire,Cleared
PAY-000125,INV-000134,2024-02-24,32855.87,Wire,Cleared
PAY-000126,INV-000135,2025-11-29,60322.27,Cheque,Cleared
PAY-000127,INV-000138,2023-09-21,70670.02,eft,Cleared
PAY-000128,INV-000139,2023-09-24,36130.94,Credit Card,Cleared
PAY-000129,INV-000140,2023-11-02,48891.52,EFT,Cleared
PAY-000130,INV-000141,2023-09-23,51963.94,Cheque,Cleared
PAY-000131,INV-000142,2025-01-17,47098.8,EFT,Cleared
PAY-000132,INV-000143,2025-01-20,38284.16,Wire,Cleared
PAY-000133,INV-000144,2025-03-27,36293.32,Credit Card,Cleared
PAY-000134,INV-000145,2025-03-13,56676.83,EFT,Cleared
PAY-000135,INV-000146,2024-10-12,21743.44,Credit Card,Cleared
PAY-000136,INV-000146,2024-10-16,14436.88,EFT,Cleared
PAY-000137,INV-000147,2025-01-17,30265.82,EFT,Cleared
PAY-000138, INV-000148,2025-01-22,50446.17,Credit Card,Cleared
PAY-000139,INV-000149,2025-11-04,57326.2,Credit Card,Cleared
PAY-000140,INV-000152,2024-10-08,39395.45, Cheque ,Cleared
PAY-000141,INV-000153,2025-02-05,33700.87,EFT,Cleared
PAY-000142,INV-000154,2025-05-20,77324.77,EFT,Cleared
PAY-000143,INV-000155,2025-09-17,49971.05,Wire,Cleared
PAY-000144,INV-000156,2025-05-17,23370.02,Wire,Cleared
PAY-000145,INV-000157,2025-06-19,16886.92,EFT,Cleared
PAY-000146,INV-000158,2025-07-06,29062.7,Cheque,Cleared
PAY-000147,INV-000159,2024-05-31,51294.57,Wire,Cleared
PAY-000148,INV-000160,2024-07-23,25934,Credit Card,Cleared
PAY-000149,INV-000161,2024-11-30,41890.81,Wire,Cleared
PAY-000150,INV-000162,2024-03-19,42270.4,Credit Card,Cleared
PAY-000151,INV-000163,2024-04-21,56800.77,Credit Card,Cleared
PAY-000152, INV-000164,2024-05-17,49786.8,Credit Card,Cleared
PAY-000153,INV-000165,2024-05-31,46728.96,EFT,Cleared
PAY-000154,INV-000167,2025-01-04,76770.69,Credit Card,Cleared
PAY-000155,INV-000168,2024-12-13,50693.69,Credit Card,Cleared
PAY-000156,INV-000169,2025-01-10,66707.94,Credit Card,Cleared
PAY-000157,INV-000170 ,2023-06-16,45637.22,CREDIT CARD,Cleared
PAY-000158,INV-000171,2024-01-31,81077.97,Wire,Cleared
PAY-000159,INV-000172,2024-03-21,111146.75,EFT,Cleared
PAY-000160,INV-000173,2024-05-15,77805.05,Wire,Cleared
PAY-000161,INV-000174,2024-06-12,82740.89,EFT,Cleared
PAY-000162,INV-000175,2024-08-18,53662.1,Wire,Cleared
PAY-000163,INV-000177,2024-10-23,40882.4,Credit Card,Cleared
PAY-000164,INV-000178,2023-11-09,28620.29,Credit Card,Cleared
PAY-000165, INV-000178 ,2023-11-05,29950.63,Credit Card,Cleared
PAY-000166,INV-000179 ,2023-09-15,89637.3,EFT,Cleared
PAY-000167,INV-000180,2023-09-27,102616.8,Credit Card,Cleared
PAY-000168,INV-000181,2024-04-30,67272.89,CHEQUE,Cleared
PAY-000169,INV-000182,2024-05-07,75780.26,EFT,Cleared
PAY-000170,INV-000183,2024-07-08,48610.41,Credit Card,Cleared
PAY-000171,INV-000184,2025-07-13,51468.74,Credit Card,Cleared
PAY-000172,INV-000186,2025-12-24,69214.24,Wire,Cleared
PAY-000173,INV-000187,2024-11-18,39409.03,EFT,Cleared
PAY-000174,INV-000188,2025-01-19,6128.22,Wire,Cleared
PAY-000175,INV-000188,2025-01-29,6530.28,Wire,Cleared
PAY-000176,INV-000189,2025-02-26,51258.12,EFT,Cleared
PAY-000177,INV-000190,2023-06-28,128644.86,Cheque,Cleared
PAY-000178,INV-000191,2023-10-05,37465.85,EFT,Cleared
PAY-000179,INV-000191,2023-09-29,25357.74,EFT,Cleared
PAY-000180,INV-000193,2023-10-08,21402.99,EFT,Cleared
PAY-000181,INV-000194,2023-12-03,39904.19,Cheque,Cleared
PAY-000182,INV-000195,2024-03-19,51192.31,Credit Card,Cleared
PAY-000183,INV-000196,2024-11-02,109435.54,EFT,Cleared
PAY-000184,INV-000197,2025-02-11,80783.76,Wire,Cleared
PAY-000185,INV-000198,2025-05-22,125223.8,Credit Card,Cleared
PAY-000186,INV-000199,2023-11-13,41918.06,Cheque,Cleared
PAY-000187,INV-000201,2024-05-08,20525.58,Credit Card,Cleared
PAY-000188,INV-000202,2024-09-20,95571.3,Wire,Cleared
PAY-000189,INV-000203,2024-11-25,98493.32,Wire,Cleared
PAY-000190,INV-000204,2025-01-24,57231.25,Credit Card,Cleared
PAY-000191,INV-000205,2025-02-24,68437.8,Cheque,Cleared
PAY-000192,INV-000206,2023-08-14,39921.84,Wire,Cleared
PAY-000193,INV-000207,2023-08-09,17710.36,Cheque,Cleared
PAY-000194,INV-000207,2023-08-14,15727.5,Cheque,Cleared
PAY-000195,INV-000208,2023-07-27,51299.63,EFT,Cleared
PAY-000196,inv-000209 ,2023-09-21,51179.79,EFT,Cleared
PAY-000197,INV-000210,2023-06-02,50922.02,Wire,Cleared
PAY-000198,INV-000211,2023-09-12,62977.37,Credit Card,Cleared
PAY-000199,INV-000212,2023-12-02,60022.29,Wire,Cleared
PAY-000200,INV-000213,2023-09-18,9486.99,Credit Card,Cleared
PAY-000201,INV-000213,2023-09-21,11064.3,Credit Card,Cleared
PAY-000202,INV-000214,2023-10-09,53843.48,EFT,Cleared
PAY-000203,INV-000215,2023-10-15,29524.28,Credit Card,Cleared
PAY-000204,INV-000216,2025-02-17,126448.42,Cheque,Cleared
PAY-000205,INV-000217 ,2025-03-24,121887.08,Cheque,Cleared
PAY-000206,INV-000218,2025-04-28,115363.38,Credit Card,Cleared
PAY-000207,inv-000220 ,2025-12-31,11433.67,Cheque,Cleared
PAY-000208,INV-000221,2025-07-04,31669.4,Credit Card,Cleared
PAY-000209,INV-000222,2025-10-09,6438.63,EFT,Cleared
PAY-000210,INV-000222,2025-10-13,9472.29,Cheque,Cleared
PAY-000211,INV-000223,2024-07-01,74226.15,Wire,Cleared
PAY-000212,INV-000224,2024-08-23,42544,EFT,Cleared
PAY-000213,INV-000225,2024-10-28,76015.97,Wire,Cleared
PAY-000214,INV-000226,2025-12-05,13951.03,Credit Card,Cleared
PAY-000215,INV-000227,2023-11-19,86297.3,EFT,Cleared
PAY-000216,INV-000229,2024-02-03,95938.11,EFT,Cleared
PAY-000217,inv-000230 ,2023-09-27,12953.7,Credit Card,Cleared
PAY-000218,INV-000230,2023-10-03,14062.89,Wire,Cleared
PAY-000219,INV-000232,2024-10-07,133141.52,Wire,Cleared
PAY-000220,INV-000233,2024-11-30,128603.67,Wire,Cleared
PAY-000221,INV-000234,2024-11-20,118884.23,Cheque,Cleared
PAY-000222, INV-000236,2024-04-02,28518.67,Credit Card,Cleared
PAY-000223,INV-000236,2024-04-17,20795.77,Cheque,Cleared
PAY-000224,INV-000237,2024-07-18,73934.19,Wire,Cleared
PAY-000225,INV-000239 ,2025-07-10,17825.95,Wire,Cleared
PAY-000226,INV-000240,2025-08-01,70301.97,Credit Card,Cleared
PAY-000227,INV-000241,2025-08-16,15200.26,Cheque,Cleared
PAY-000228,INV-000241,2025-08-14,13316.07,Wire,Cleared
PAY-000229,INV-000242,2025-09-19,74104,Credit Card,Cleared
PAY-000230,INV-000243,2023-07-04,29260.64,Credit Card,Cleared
PAY-000231,INV-000244,2023-08-28,47487.38,EFT,Cleared
PAY-000232,inv-000246,2023-10-03,29506.08,EFT,Cleared
PAY-000233,INV-000247,2023-12-10,9044.25,Wire,Cleared
PAY-000234,INV-000247,2023-12-07,6368.45,Credit Card,Cleared
PAY-000235,INV-000249,2023-06-24,46953.58,Wire,Cleared
PAY-000236,INV-000250,2023-08-05,46581.96,EFT,Cleared
PAY-000237,INV-000251,2023-08-15,59509.99,Cheque,Cleared
PAY-000238,INV-000252,2024-04-23,40830.46,EFT,Cleared
PAY-000239,INV-000253,2024-05-12,49646.63,Cheque,Cleared
PAY-000240,INV-000254,2025-11-29,81509.1,Cheque,Cleared
PAY-000241,INV-000257,2025-02-21,10605.51,Wire,Cleared
PAY-000242,INV-000257,2025-02-24,13666.26,Credit Card,Cleared
PAY-000243,INV-000258,2025-03-29,37671.86,Cheque,Cleared
PAY-000244,INV-000259,2025-04-22,33534.6,Credit Card,Cleared
PAY-000245,INV-000260,2025-05-19,7630.23,Wire,Cleared
PAY-000246,INV-000260,2025-05-14,9474.43,EFT,Cleared
PAY-000247,INV-000261,2023-06-29,30859.45,EFT,Cleared
PAY-000248,INV-000262,2023-11-13,4570.76,Credit Card,Cleared
PAY-000249,INV-000263,2025-05-30,46557.55,Cheque,Cleared
PAY-000250,INV-000264,2025-07-30,38347.82,Credit Card,Cleared
PAY-000251,INV-000265,2025-10-03,57187.45,Credit Card,Cleared
PAY-000252,INV-000266,2024-03-23,33555.82,EFT,Cleared
PAY-000253,INV-000267,2024-06-22,34545.98,Wire,Cleared
PAY-000254,INV-000268,2024-08-05,71340.75,Cheque,Cleared
PAY-000255,INV-000269,2023-06-07,48254.52,EFT,Cleared
PAY-000256,INV-000270,2023-09-11,43010.04,Credit Card,Cleared
PAY-000257,INV-000271,2023-11-09,21204.73,Credit Card,Cleared
PAY-000258,INV-000272,2024-08-08,74546.27,Cheque,Cleared
PAY-000259,INV-000273,2024-08-28,58106.98,Cheque,Cleared
PAY-000260,INV-000274,2024-11-06,33717.67,Wire,Cleared
PAY-000261,INV-000275,2024-03-26,27444.58,Credit Card,Cleared
PAY-000262,INV-000276,2024-07-23,60313.14,Credit Card,Cleared
PAY-000263,INV-000277,2023-12-02,53989.95,Wire,Cleared
PAY-000264,INV-000278,2025-07-06,25887.86,Wire,Cleared
PAY-000265,INV-000279,2025-08-17,51556.49,Credit Card,Cleared
PAY-000266,INV-000280,2025-03-02,19007.63,Cheque,Cleared
PAY-000267,INV-000282,2024-05-31,16918.57,WIRE,Cleared
PAY-000268,INV-000283,2024-05-18,33025.87,EFT,Cleared
PAY-000269,INV-000284,2024-07-28,19180.84,Wire,Cleared
PAY-000270,INV-000285,2024-06-28,64073.32,Cheque,Cleared
PAY-000271,INV-000286,2024-07-27,62914.92,EFT,Cleared
PAY-000272,INV-000287,2024-09-28,78246.71,Credit Card,Cleared
PAY-000273,INV-000289,2024-12-25,63850.37,EFT,Cleared
PAY-000274,INV-000290,2025-01-31,40060.4,Credit Card,Cleared
PAY-000275,INV-000291,2024-11-19,7270.57,Wire,Cleared
PAY-000276,INV-000291,2024-11-13,5385.49,Credit Card,Cleared
PAY-000277,INV-000292,2025-02-23,51812.63,Credit Card,Cleared
PAY-000278,INV-000293,2025-03-18,42657.14,Credit Card,Cleared
PAY-000279,INV-000295,2024-07-20,47949.1,Cheque,Cleared
PAY-000280,INV-000296,2024-07-22,74336.74,Credit Card,Cleared
PAY-000281,INV-000297,2024-12-24,44449.26,EFT,Cleared
PAY-000282,INV-000298,2024-12-25,84815.72,Cheque,Cleared
PAY-000283,INV-000299,2024-12-20,58272.73, Cheque ,Cleared
PAY-000284,INV-000300,2025-02-02,75911.37,CREDIT CARD,Cleared
PAY-000285,INV-000302,2025-08-07,34745.36,EFT,Cleared
PAY-000286,INV-000303,2025-08-24,54176.79,Credit Card,Cleared
PAY-000287,INV-000304,2025-11-19,28404.26,Credit Card,Cleared
PAY-000288,INV-000305,2025-11-17,9326.02,Cheque,Cleared
PAY-000289,INV-000305,2025-11-19,5666.29,Credit Card,Cleared
PAY-000290,INV-000307,2025-01-04,25747.41,Credit Card,Cleared
PAY-000291,INV-000308,2024-12-19,31734.46,Wire,Cleared
PAY-000292,INV-000309,2024-08-06,23022.02,EFT,Cleared
PAY-000293,INV-000310,2024-10-09,15903.9, EFT ,Cleared
PAY-000294, INV-000311,2025-01-03,31120.35,Credit Card,Cleared
PAY-000295,INV-000312 ,2024-12-17,90243.26,EFT,Cleared
PAY-000296,INV-000313,2025-01-30,55450.08,Wire,Cleared
PAY-000297,INV-000314,2025-02-03,54719.15,Wire,Cleared
PAY-000298,INV-000315,2025-03-13,74679.94,Wire,Cleared
PAY-000299,inv-000316,2023-09-29,21746.37,EFT,Cleared
PAY-000300,INV-000317,2023-10-30,22321.94,Cheque,Cleared
PAY-000301,INV-000318,2023-12-07,22915.28,EFT,Cleared
PAY-000302,INV-000319,2023-05-09,77296.92,EFT,Cleared
PAY-000303,INV-000320,2023-07-17,72952.63,Cheque,Cleared
PAY-000304,INV-000321,2023-08-02,41265.57,Credit Card,Cleared
PAY-000305,INV-000322,2023-10-16,57400, EFT ,Cleared
PAY-000306,INV-000324,2024-05-05,4326.44,Credit Card,Cleared
PAY-000307,INV-000324,2024-05-06,5362.72,Wire,Cleared
PAY-000308,INV-000326,2025-10-20,32365.34,EFT,Cleared
PAY-000309,INV-000328,2025-12-27,10039.79,Cheque,Cleared
PAY-000310,INV-000329 ,2025-04-30,29630.03,Wire,Cleared
PAY-000311,INV-000330,2023-06-22,33255.46,Wire,Cleared
PAY-000312,INV-000331,2023-09-18,27351.34, Wire ,Cleared
PAY-000313,INV-000332,2023-12-06,27904.3,credit card,Cleared
PAY-000314,INV-000333,2023-08-08,46058.56,Cheque,Cleared
PAY-000315, INV-000334 ,2023-09-05,21581.41,Credit Card,Cleared
PAY-000316,INV-000335,2023-10-31,58125.6,Wire,Cleared
PAY-000317,INV-000337,2023-12-13,12835.73,EFT,Cleared
PAY-000318,INV-000338,2024-02-23,45513.93,Wire,Cleared
PAY-000319,INV-000340,2024-02-15,21127.49,EFT,Cleared
PAY-000320,INV-000341,2024-04-06,34499.85,Credit Card,Cleared
PAY-000321,INV-000342,2025-11-08,53714.02,Wire,Cleared
PAY-000322,INV-000343,2025-12-29,31440.86,Cheque,Cleared
PAY-000323,INV-000344,2025-11-15,6389.57,Wire,Cleared
PAY-000324,INV-000346,2024-12-02,33150.23,Wire,Cleared
PAY-000325,INV-000347,2025-02-22,36971.52,EFT,Cleared
PAY-000326,INV-000348,2025-07-14,25932.09,Wire,Cleared
PAY-000327,INV-000349,2025-08-20,28274.54,Credit Card,Cleared
PAY-000328,INV-000350,2025-08-30,31293.58,Credit Card,Cleared
PAY-000329,INV-000351,2024-11-08,48226.62,EFT,Cleared
PAY-000330,INV-000352,2024-11-21,51766.63,EFT,Cleared
PAY-000331,INV-000353,2025-01-10,36043.87,Cheque,Cleared
PAY-000332,INV-000354,2025-01-20,41323.65,Credit Card,Cleared
PAY-000333,INV-000356,2024-05-13,58074.58, Wire ,Cleared
PAY-000334,INV-000358,2024-11-21,28152.64,EFT,Cleared
PAY-000335,INV-000359,2024-11-29,7884.04,Credit Card,Cleared
PAY-000336,INV-000359,2024-11-20,11620.92,EFT,Cleared
PAY-000337,INV-000360,2024-09-22,59195.96,Credit Card,Cleared
PAY-000338,inv-000361 ,2025-01-06,57380.7,Wire,Cleared
PAY-000339,INV-000362,2025-02-12,108207.55,Wire,Cleared
PAY-000340,INV-000363,2024-12-03,21748.05,Credit Card,Cleared
PAY-000341,INV-000364,2024-11-16,42362.45, Cheque ,Cleared
PAY-000342,INV-000365,2025-01-02,36549.25,Cheque,Cleared
PAY-000343,INV-000366,2024-04-26,71824.68,EFT,Cleared
PAY-000344,INV-000367,2024-04-28,65545.64,Cheque,Cleared
PAY-000345,INV-000368,2024-09-05,51556.44,Credit Card,Cleared
PAY-000346,INV-000369,2025-12-23,22793.91,EFT,Cleared
PAY-000347,INV-000371,2025-11-29,71182,Cheque,Cleared
PAY-000348,INV-000372,2025-12-23,36335.96,Cheque,Cleared
PAY-000349,INV-000372,2025-12-27,25675.53,Credit Card,Cleared
PAY-000350,INV-000374,2024-06-02,20620.87,Wire,Cleared
PAY-000351,inv-000375 ,2024-08-10,22538.22,Wire,Cleared
PAY-000352,INV-000376,2024-12-04,29521.8,Cheque,Cleared
PAY-000353,INV-000377,2025-10-17,76532.29,Credit Card,Cleared
PAY-000354,INV-000378,2025-12-11,29062.11,Credit Card,Cleared
PAY-000355,INV-000379,2025-11-20,72475.98,EFT,Cleared
PAY-000356,INV-000380,2023-12-09,69477.01,EFT,Cleared
PAY-000357,INV-000381,2024-01-06,43489.16,Wire,Cleared
PAY-000358,INV-000382,2024-03-08,71196.87,Cheque,Cleared
PAY-000359,INV-000383,2025-04-13,10395.49,Credit Card,Cleared
PAY-000360,INV-000383,2025-04-26,8241.06,Credit Card,Cleared
PAY-000361,INV-000384,2025-06-12,18144.94,Credit Card,Cleared
PAY-000362,INV-000385,2025-08-26,19444.28,Cheque,Cleared
PAY-000363,INV-000387,2024-12-25,29735.47,Credit Card,Cleared
PAY-000364,INV-000388,2025-03-27,31157.98,EFT,Cleared
PAY-000365,INV-000389,2025-05-14,39321.67,Wire,Cleared
PAY-000366,INV-000390,2023-07-19,111126.6,EFT,Cleared
PAY-000367,inv-000391,2023-11-06,125173.69,Wire,Cleared
PAY-000368,INV-000392,2024-02-18,122316.79,Cheque,Cleared
PAY-000369,inv-000393,2024-02-09,90769.82,Cheque,Cleared
PAY-000370,INV-000394,2025-08-01,74119.86,EFT,Cleared
PAY-000371,INV-000395,2025-10-01,41982.47,Cheque,Cleared
PAY-000372,INV-000396,2025-08-26,37769.83,Cheque,Cleared
PAY-000373,INV-000397,2024-05-25,103483.16,CHEQUE,Cleared
PAY-000374,INV-000398,2024-07-31,91542.38,EFT,Cleared
PAY-000375,INV-000399,2024-11-05,64997.07,Cheque,Cleared
PAY-000376,INV-000400,2025-06-28,33603.26,EFT,Cleared
PAY-000377,INV-000401,2025-09-10,47956.34,Cheque,Cleared
PAY-000378,INV-000402,2025-11-25,44579.4,EFT,Cleared
PAY-000379,INV-000403,2023-09-03,28655.51,Wire,Cleared
PAY-000380,INV-000404,2023-09-28,29167.91,Credit Card,Cleared
PAY-000381,INV-000405,2023-10-31,25471.73,Credit Card,Cleared
PAY-000382,INV-000407,2023-12-08,15810,EFT,Cleared
PAY-000383,INV-000408,2023-05-30,27675.24,eft,Cleared
PAY-000384,INV-000409,2023-09-03,80770.54,EFT,Cleared
PAY-000385,INV-000410 ,2023-10-26,82170.97,Wire,Cleared
PAY-000386,INV-000411,2023-12-26,37954.3,Wire,Cleared
PAY-000387,INV-000413,2023-08-12,31411.86,Credit Card,Cleared
PAY-000388,INV-000414,2023-09-18,135562.33,EFT,Cleared
PAY-000389,INV-000417,2023-04-19,48097.77,EFT,Cleared
PAY-000390,INV-000418,2023-05-11,78697.31,EFT,Cleared
PAY-000391,INV-000420,2023-09-22,53039.55,EFT,Cleared
PAY-000392,INV-000423,2025-10-12,27366.34,CREDIT CARD,Cleared
PAY-000393,INV-000424,2024-06-09,61042.62,Cheque,Cleared
PAY-000394,INV-000425,2024-09-05,26697.72,EFT,Cleared
PAY-000395,INV-000426,2024-01-12,33411.34,Wire,Cleared
PAY-000396,INV-000428,2025-11-04,179705.38,Wire,Cleared
PAY-000397,INV-000430,2024-09-07,28222.97,Wire,Cleared
PAY-000398,INV-000432,2023-09-14,108769.82,Cheque,Cleared
