Timesheet_ID,Work_Date,Project_ID,Consultant_ID,Task_Category,Hours_Worked,Billable_Flag,Approved_Flag
TMS-000132,2023-11-01,PRJ-0010,CON-005,Delivery,58.4,Billable,Yes
TMS-000133,2023-11-01,PRJ-0010,CON-035,Delivery,60.3,Billable,Yes
TMS-000134,2023-12-01,PRJ-0010,CON-005,Delivery,50.7,Billable,Yes
TMS-000135,2023-11-01,PRJ-0010,CON-038,QA Review,39.6,Billable,Yes
TMS-000136,2023-12-01,PRJ-0010,CON-005,Client Workshop,21.1,Billable,Yes
TMS-000137,2025-03-01,PRJ-0011,CON-062,Sales Support,38.4,Non-Billable,Yes
TMS-000138,2025-03-01,PRJ-0011,CON-022,Admin,126.6,Non-Billable,Yes
TMS-000139,2024-12-01,PRJ-0011,CON-036,Sales Support,129.6,Non-Billable,Yes
TMS-000140,2025-02-01,PRJ-0011,CON-036,Delivery,142.6,Billable,Yes
TMS-000141,2025-04-01,PRJ-0011,CON-022,Internal Training,51.7,Non-Billable,Yes
TMS-000142,2025-01-01,PRJ-0011,CON-022,Analysis,20.1,Billable,Yes
TMS-000143,2025-03-01,PRJ-0011,CON-022,Internal Training,36.1,Non-Billable,Yes
TMS-000144,2025-01-01,PRJ-0011,CON-022,Delivery,136.5,Billable,Yes
TMS-000145,2025-04-01,prj-0011 ,CON-022,Client Workshop,90.3,Billable,Yes
TMS-000146,2024-12-01,PRJ-0011,CON-022,Delivery,95.8,Billable,Yes
TMS-000147,2025-02-01,PRJ-0011,CON-062,Analysis,66,Billable,Yes
TMS-000148,2025-03-01,PRJ-0011,CON-062,Client Workshop,176.5,,Yes
TMS-000149,2025-04-01,PRJ-0011,CON-062,Delivery,68.8,Billable,Yes
TMS-000150,2025-02-01,PRJ-0011,CON-062,Delivery,191.6,Billable,Yes
TMS-000151,2025-04-01,PRJ-0011,CON-062,Delivery,134.2,Billable,Yes
TMS-000152,2025-01-01,PRJ-0011,CON-022,Analysis,61.9,Billable,Yes
TMS-000153,2025-03-01,PRJ-0011,CON-022,QA Review,73,Billable,Yes
TMS-000154,2025-02-01, PRJ-0011 ,CON-062,Analysis,2,Billable,Yes
TMS-000155,2025-02-01,PRJ-0011,CON-022,Delivery,2,Billable,Yes
TMS-000156,2025-04-01,PRJ-0012,CON-065,Delivery,108.2,Billable,Yes
TMS-000157,2025-04-01,PRJ-0012,CON-018,Analysis,22.3,Billable,Yes
TMS-000158,2025-04-01,PRJ-0012,CON-065,Delivery,12.3,Billable,Yes
TMS-000159,2025-04-01,PRJ-0013,CON-003,Client Workshop,159.5,Billable,Yes
TMS-000160,2025-06-01,PRJ-0013,CON-007,Delivery,98.1,Billable,Yes
TMS-000161,2025-05-01,PRJ-0013,CON-007,Client Workshop,10.2,Billable,Yes
TMS-000162,2025-05-01,PRJ-0013,CON-007,Delivery,34.6,Billable,Yes
TMS-000163,2024-11-01,PRJ-0014,CON-063,Internal Training,54,Non-Billable,Yes
TMS-000164,2024-11-01,PRJ-0014,CON-030,Sales Support,17.4,Non-Billable,Yes
TMS-000165,2025-01-01,PRJ-0014,CON-030,Delivery,40.1,Billable,Yes
TMS-000166,2025-01-01,PRJ-0014,CON-063,Delivery,40.2,Billable,Yes
TMS-000167,2024-11-01,PRJ-0014,CON-059,Sales Support,192.5,Non-Billable,Yes
TMS-000168,2024-11-01,PRJ-0014,CON-063,QA Review,155.2,Billable,Yes
TMS-000169,2025-01-01,PRJ-0014,CON-059,Delivery,90.7,Billable,Yes
TMS-000170,2024-11-01,PRJ-0015,CON-031,Sales Support,182.7,Non-Billable,Yes
TMS-000171,2025-01-01,PRJ-0015,CON-007,Delivery,115,Billable,Yes
TMS-000172,2024-12-01,PRJ-0015,CON-048,Delivery,27.6,Billable,Yes
TMS-000173,2025-01-01,PRJ-0015,CON-048,Delivery,99.4,,Yes
TMS-000174,2024-11-01,prj-0015 ,CON-007,Delivery,153.5,Billable,Yes
TMS-000175,2024-11-01,PRJ-0015,CON-007,Analysis,94.9,Billable,Yes
TMS-000176,2024-11-01,PRJ-0015,CON-048,Delivery,128.2,Billable,Yes
TMS-000177,2024-12-01,PRJ-0015,CON-048,Sales Support,130.9,Non-Billable,No
TMS-000178,2025-01-01,PRJ-0015,CON-007,Delivery,186.2,Billable,Yes
TMS-000179,2025-01-01,PRJ-0015,CON-048,Delivery,11.7,Billable,Yes
TMS-000180,2025-01-01,PRJ-0015,CON-031,Internal Training,19.9,Non-Billable,Yes
TMS-000181,2025-01-01,PRJ-0015,CON-007,Delivery,19.7,,Yes
TMS-000182,2025-01-01,PRJ-0015,CON-007,Delivery,102.3,Billable,Yes
TMS-000183,2024-12-01,PRJ-0015,CON-031,Delivery,16.7,Billable,Yes
TMS-000184,2024-12-01,PRJ-0016,CON-039,Analysis,42.9,Billable,Yes
TMS-000185,2024-12-01,prj-0016 ,CON-015,Delivery,55.1,Billable,Yes
TMS-000186,2024-12-01,PRJ-0016,CON-039,Delivery,109.9,Billable,Yes
TMS-000187,2024-11-01,PRJ-0016,CON-015,Client Workshop,143.6,Billable,Yes
TMS-000188,2025-02-01,PRJ-0016,CON-015,Sales Support,168.3,Non-Billable,Yes
TMS-000189,2025-04-01,PRJ-0016,CON-015,Delivery,50.3,Billable,Yes
TMS-000190,2024-12-01,PRJ-0016,CON-039,Analysis,130.5,Billable,Yes
TMS-000191,2025-02-01,PRJ-0016,CON-015,Delivery,58.6,Billable,Yes
TMS-000192,2024-12-01,PRJ-0016,CON-015,Client Workshop,70,Billable,Yes
TMS-000193,2025-01-01,PRJ-0016,CON-039 ,Analysis,69,Billable,Yes
TMS-000194,2024-09-01,PRJ-0017,CON-069,Client Workshop,71,Billable,No
TMS-000195,2024-09-01,PRJ-0017,CON-046,QA Review,53.1,Billable,Yes
TMS-000196,2024-09-01,PRJ-0017,CON-046,Delivery,166.8,,Yes
TMS-000197,2024-09-01,PRJ-0017,CON-069,Analysis,37.6,Billable,Yes
TMS-000198,2024-09-01,PRJ-0017,CON-069,Analysis,123.5,Billable,Yes
TMS-000199,2024-08-01,PRJ-0017,CON-046,Client Workshop,99.7,Billable,Yes
TMS-000200,2024-08-01,PRJ-0017,CON-046,Delivery,26.6,Billable,Yes
TMS-000201,2024-08-01,PRJ-0017,con-046 ,Analysis,36,Billable,Yes
TMS-000202,2024-09-01,PRJ-0017,CON-069,Delivery,11.9,Billable,Yes
TMS-000203,2024-09-01,PRJ-0017,CON-046,Analysis,140.6,Billable,Yes
TMS-000204,2024-09-01,PRJ-0017,CON-046,Delivery,13.4,Billable,Yes
TMS-000205,2024-09-01,PRJ-0017,CON-046,Analysis,28.9,Billable,Yes
TMS-000206,2024-09-01,PRJ-0017,CON-046,Client Workshop,35.7,Billable,Yes
TMS-000207,2024-09-01,PRJ-0017,CON-069,Client Workshop,6.3,Billable,Yes
TMS-000208,2025-04-01,PRJ-0018,CON-056,Analysis,80.6,Billable,Yes
TMS-000209,2025-07-01,PRJ-0018,CON-058,Client Workshop,104.1,Billable,Yes
TMS-000210,2025-06-01,PRJ-0018,CON-058,Delivery,92.1,Billable,Yes
TMS-000211,2025-02-01,PRJ-0018,CON-056,Delivery,88.2,Billable,Yes
TMS-000212,2025-03-01,PRJ-0018,CON-013,Client Workshop,124.2,Billable,Yes
TMS-000213,2025-07-01,PRJ-0018,CON-056,Delivery,133,Billable,Yes
TMS-000214,2025-01-01,PRJ-0018,CON-058,Delivery,50.5,Billable,Yes
TMS-000215,2025-02-01,PRJ-0018,CON-058,Client Workshop,105.6,Billable,Yes
TMS-000216,2025-05-01,PRJ-0018,CON-058,Analysis,150.3,Billable,No
TMS-000217,2025-07-01,PRJ-0018,CON-056,Client Workshop,198.8,Billable,Yes
TMS-000218,2025-06-01,PRJ-0018,CON-058,Delivery,43,Billable,Yes
TMS-000219,2025-05-01,PRJ-0018,CON-058,Delivery,72,Billable,Yes
TMS-000220,2025-07-01,PRJ-0018,CON-056,Delivery,161.4,Billable,Yes
TMS-000221,2025-01-01,PRJ-0018,CON-058,Delivery,102.3,Billable,Yes
TMS-000222,2025-02-01,PRJ-0018,CON-013,Client Workshop,18.6,Billable,Yes
TMS-000223,2025-01-01,PRJ-0018,CON-056,QA Review,17.9,Billable,Yes
TMS-000224,2025-08-01,PRJ-0018,CON-013,Analysis,50.7,Billable,Yes
TMS-000225,2025-02-01,PRJ-0018,CON-013,Analysis,43,Billable,Yes
TMS-000226,2025-02-01,PRJ-0018,CON-056,Delivery,155.1,Billable,Yes
TMS-000227,2025-07-01,PRJ-0018,con-013 ,Delivery,186.4,Billable,Yes
TMS-000228,2025-04-01,PRJ-0018,CON-056,Admin,127.8,Non-Billable,Yes
TMS-000229,2023-02-01,PRJ-0019,CON-057,Client Workshop,79.7,Billable,Yes
TMS-000230,2023-01-01,PRJ-0019,CON-018,Delivery,169.2,Billable,Yes
TMS-000231,2023-02-01,PRJ-0019,CON-018,Analysis,119.7,Billable,Yes
TMS-000232,2023-02-01,PRJ-0019, CON-057 ,Client Workshop,21.1,Billable,Yes
TMS-000233,2023-02-01,PRJ-0019,CON-057,Delivery,91.2,Billable,Yes
TMS-000234,2023-02-01,PRJ-0019,CON-018,QA Review,189.7,Billable,Yes
TMS-000235,2023-06-01,PRJ-0020,CON-004,Delivery,177.1,Billable,Yes
TMS-000236,2023-07-01,PRJ-0020,CON-004,Client Workshop,27.9,Billable,Yes
TMS-000237,2023-06-01,PRJ-0020,CON-004,Client Workshop,160.8,Billable,Yes
TMS-000238,2023-06-01,PRJ-0020,CON-004,Client Workshop,195.5,Billable,Yes
TMS-000239,2023-06-01, PRJ-0020,CON-054,Delivery,153.4,Billable,No
TMS-000240,2023-07-01, PRJ-0020,CON-033,Delivery,153,Billable,Yes
TMS-000241,2023-06-01,PRJ-0020,CON-033,Admin,20.7,Non-Billable,Yes
TMS-000242,2023-06-01,PRJ-0020,CON-004,Analysis,141.1,Billable,Yes
TMS-000243,2023-06-01,PRJ-0020,CON-004,Client Workshop,67.2,Billable,Yes
TMS-000244,2023-07-01,PRJ-0020,CON-033,Analysis,75.8,Billable,Yes
TMS-000245,2023-05-01,PRJ-0020,CON-004,Delivery,94.6,,Yes
TMS-000246,2023-06-01,PRJ-0020,CON-004,Delivery,19.3,Billable,No
TMS-000247,2023-06-01,PRJ-0020,CON-004,Delivery,61.5,Billable,Yes
TMS-000248,2023-07-01,PRJ-0020,CON-004,Delivery,14.1,Billable,Yes
TMS-000249,2023-06-01,PRJ-0020,CON-054,QA Review,25.9,Billable,Yes
TMS-000250,2023-10-01,PRJ-0021,CON-056,Analysis,87.8,,Yes
TMS-000251,2023-10-01,PRJ-0021,CON-056,Delivery,48,Billable,Yes
TMS-000252,2023-10-01,PRJ-0021,CON-056,Delivery,90.7,Billable,Yes
TMS-000253,2023-10-01,PRJ-0021,CON-056,QA Review,87.4,Billable,Yes
TMS-000254,2023-11-01,PRJ-0021,CON-058,Delivery,22.6,Billable,Yes
TMS-000255,2023-11-01,PRJ-0021,CON-056,Analysis,158.6,Billable,Yes
TMS-000256,2023-11-01,PRJ-0021,CON-058,Client Workshop,121.6,Billable,Yes
TMS-000257,2023-10-01,PRJ-0021,CON-058,Delivery,114.2,Billable,Yes
TMS-000258,2023-11-01,PRJ-0021,CON-058,Delivery,57.7,Billable,Yes
TMS-000259,2023-11-01,PRJ-0021,CON-056,Admin,12.5,Non-Billable,Yes
TMS-000260,2023-11-01,PRJ-0021,CON-058,Delivery,125.6,Billable,Yes
TMS-000261,2023-11-01,PRJ-0021,CON-058,Internal Training,196.5,Non-Billable,Yes
TMS-000262,2023-10-01,PRJ-0021,CON-056,Delivery,112.6,Billable,Yes
TMS-000263,2023-10-01,PRJ-0021,CON-058,Analysis,185.2,Billable,Yes
TMS-000264,2023-10-01,PRJ-0021,CON-056,Sales Support,178.1,Non-Billable,Yes
TMS-000265,2023-10-01,PRJ-0021,CON-056,Client Workshop,127.2,Billable,Yes
TMS-000266,2023-11-01,PRJ-0021,CON-056,Admin,115.8,Non-Billable,Yes
TMS-000267,2023-11-01,PRJ-0021,CON-058,Client Workshop,140.2,Billable,Yes
TMS-000268,2023-10-01,PRJ-0021,CON-058,Analysis,36.6,Billable,Yes
TMS-000269,2023-10-01,PRJ-0021,CON-058,QA Review,56.7,Billable,Yes
TMS-000270,2023-10-01,PRJ-0021,CON-056,Analysis,177.9,Billable,Yes
TMS-000271,2023-10-01,PRJ-0021,CON-056,Admin,29.1,Non-Billable,Yes
TMS-000272,2023-10-01,PRJ-0021,CON-058,Delivery,66.8,Billable,Yes
TMS-000273,2023-11-01,PRJ-0021,con-058,Analysis,172.2,Billable,Yes
TMS-000274,2023-11-01,PRJ-0021,CON-056,Delivery,30.1,Billable,Yes
TMS-000275,2023-11-01,PRJ-0021,CON-058,Analysis,23,Billable,Yes
TMS-000276,2023-11-01,PRJ-0021,CON-056,Analysis,6,Billable,Yes
TMS-000277,2023-11-01,PRJ-0021,CON-058,Analysis,2,Billable,Yes
TMS-000278,2023-11-01,PRJ-0021,CON-056,Client Workshop,2,Billable,Yes
TMS-000279,2023-11-01,PRJ-0021,CON-058,Delivery,2,Billable,Yes
TMS-000280,2023-03-01,PRJ-0022,CON-013,Delivery,140.2,Billable,Yes
TMS-000281,2023-04-01,PRJ-0022,CON-057,Delivery,13.4,Billable,Yes
TMS-000282,2023-04-01,PRJ-0022,CON-057,QA Review,188.9,Billable,Yes
TMS-000283,2023-02-01,PRJ-0022,CON-057,Analysis,57.8,Billable,Yes
TMS-000284,2023-08-01,PRJ-0022,CON-013,Analysis,10.5,Billable,Yes
TMS-000285,2023-04-01,PRJ-0022,CON-057,Delivery,54.7,Billable,Yes
TMS-000286,2025-10-01,PRJ-0023,CON-016,Analysis,170.5,Billable,Yes
TMS-000287,2025-12-01,PRJ-0023,CON-032,Analysis,10.5,Billable,Yes
TMS-000288,2025-11-01,PRJ-0023,CON-032,Delivery,2,,Yes
TMS-000289,2025-12-01,PRJ-0023,CON-016,Delivery,2,Billable,Yes
TMS-000290,2025-07-01,PRJ-0023,CON-032,Delivery,2,Billable,Yes
TMS-000291,2024-03-01,PRJ-0024,CON-074,Delivery,85.6,Billable,Yes
TMS-000292,2024-04-01,PRJ-0024,CON-074,Delivery,43.7,Billable,Yes
TMS-000293,2024-04-01,PRJ-0024,CON-078,Client Workshop,17.9,Billable,Yes
TMS-000294,2024-04-01,PRJ-0024,CON-078,Admin,122,,Yes
TMS-000295,2024-04-01,PRJ-0024,CON-078,Admin,50.7,Non-Billable,Yes
TMS-000296,2024-05-01,PRJ-0024,CON-071,Analysis,173.9,Billable,Yes
TMS-000297,2024-03-01,PRJ-0024,CON-071,Delivery,81.3,Billable,Yes
TMS-000298,2024-03-01,PRJ-0024,CON-071,Client Workshop,30.4,Billable,Yes
TMS-000299,2024-04-01,PRJ-0024,CON-078,Delivery,105.9,Billable,Yes
TMS-000300,2024-05-01,PRJ-0024,CON-071,Analysis,148.6,Billable,Yes
TMS-000301,2024-03-01,PRJ-0024,CON-071,Client Workshop,143.4,Billable,No
TMS-000302,2024-02-01,PRJ-0024,CON-078,Admin,73.9,Non-Billable,Yes
TMS-000303,2024-04-01,PRJ-0024,CON-078,Analysis,68.1,Billable,Yes
TMS-000304,2024-04-01,PRJ-0024,CON-071,Analysis,42.6,Billable,Yes
TMS-000305,2024-02-01,PRJ-0024,CON-078,Admin,135.7,Non-Billable,Yes
TMS-000306,2024-04-01,PRJ-0024,CON-078,Analysis,73.6,Billable,Yes
TMS-000307,2024-02-01,PRJ-0024,CON-074,Internal Training,146.3,Non-Billable,Yes
TMS-000308,2024-02-01,PRJ-0024,CON-078,Delivery,65.6,Billable,Yes
TMS-000309,2024-03-01,prj-0024 ,CON-074,QA Review,184.4,Billable,Yes
TMS-000310,2024-03-01,PRJ-0024,CON-071,Delivery,11,Billable,Yes
TMS-000311,2024-04-01,PRJ-0024,con-074 ,Delivery,94.8,Billable,Yes
TMS-000312,2024-04-01,PRJ-0024,CON-074,Analysis,90.9,Billable,Yes
TMS-000313,2024-04-01,PRJ-0024,CON-078,QA Review,85.4,Billable,Yes
